Date,Value
2018-05-31,4.06
2018-04-30,4.02
2018-03-31,3.9
2018-02-28,3.85
2018-01-31,3.62
2017-12-31,3.44
2017-11-30,3.3
2017-10-31,3.25
2017-09-30,3.13
2017-08-31,3.12
2017-07-31,3.2
2017-06-30,3.17
2017-05-31,3.19
2017-04-30,3.27
2017-03-31,3.39
2017-02-28,3.37
2017-01-31,3.4
2016-12-31,3.55
2016-11-30,3.25
2016-10-31,2.78
2016-09-30,2.72
2016-08-31,2.74
2016-07-31,2.78
2016-06-30,2.78
2016-05-31,2.89
2016-04-30,2.89
2016-03-31,2.98
2016-02-29,2.93
2016-01-31,3.07
2015-12-31,3.24
2015-11-30,3.18
2015-10-31,2.98
2015-09-30,3.08
2015-08-31,3.06
2015-07-31,3.17
2015-06-30,3.21
2015-05-31,3.11
2015-04-30,2.94
2015-03-31,2.97
2015-02-28,3.07
2015-01-31,2.98
2014-12-31,3.15
2014-11-30,3.17
2014-10-31,3.13
2014-09-30,3.36
2014-08-31,3.25
2014-07-31,3.23
2014-06-30,3.22
2014-05-31,3.21
2014-04-30,3.39
2014-03-31,3.42
2014-02-28,3.39
2014-01-31,3.4
2013-12-31,3.52
2013-11-30,3.3
2013-10-31,3.2
2013-09-30,3.37
2013-08-31,3.54
2013-07-31,3.39
2013-06-30,3.5
2013-05-31,2.98
2013-04-30,2.61
2013-03-31,2.76
2013-02-28,2.76
2013-01-31,2.81
2012-12-31,2.65
2012-11-30,2.64
2012-10-31,2.72
2012-09-30,2.73
2012-08-31,2.86
2012-07-31,2.8
2012-06-30,2.94
2012-05-31,2.97
2012-04-30,3.12
2012-03-31,3.23
2012-02-29,3.19
2012-01-31,3.24
2011-12-31,3.24
2011-11-30,3.3
2011-10-31,3.38
2011-09-30,3.28
2011-08-31,3.44
2011-07-31,3.66
2011-06-30,3.69
2011-05-31,3.78
2011-04-30,3.97
2011-03-31,4.09
2011-02-28,4.22
2011-01-31,4.09
2010-12-31,4.2
2010-11-30,3.77
2010-10-31,3.66
2010-09-30,3.75
2010-08-31,3.86
2010-07-31,4.0
2010-06-30,4.13
2010-05-31,4.21
2010-04-30,4.39
2010-03-31,4.34
2010-02-28,4.4
2010-01-31,4.39
2009-12-31,4.54
2009-11-30,4.29
2009-10-31,4.46
2009-09-30,4.46
2009-08-31,4.58
2009-07-31,4.69
2009-06-30,4.87
2009-05-31,4.53
2009-04-30,4.48
2009-03-31,4.58
2009-02-28,4.68
2009-01-31,4.8
2008-12-31,4.83
2008-11-30,5.74
2008-10-31,6.19
2008-09-30,5.77
2008-08-31,5.93
2008-07-31,6.07
2008-06-30,6.04
2008-05-31,5.66
2008-04-30,5.62
2008-03-31,5.34
2008-02-29,5.72
2008-01-31,5.17
2007-12-31,5.79
2007-11-30,5.73
2007-10-31,5.99
2007-09-30,6.09
2007-08-31,6.12
2007-07-31,6.37
2007-06-30,6.34
2007-05-31,6.12
2007-04-30,5.87
2007-03-31,5.86
2007-02-28,5.97
2007-01-31,5.98
2006-12-31,5.93
2006-11-30,5.87
2006-10-31,6.1
2006-09-30,5.98
2006-08-31,6.14
2006-07-31,6.34
2006-06-30,6.43
2006-05-31,6.23
2006-04-30,6.21
2006-03-31,6.0
2006-02-28,5.89
2006-01-31,5.7
2005-12-31,5.76
2005-11-30,5.81
2005-10-31,5.69
2005-09-30,5.48
2005-08-31,5.35
2005-07-31,5.34
2005-06-30,5.12
2005-05-31,5.21
2005-04-30,5.33
2005-03-31,5.58
2005-02-28,5.22
2005-01-31,5.14
2004-12-31,5.23
2004-11-30,5.15
2004-10-31,5.01
2004-09-30,5.12
2004-08-31,5.21
2004-07-31,5.49
2004-06-30,5.64
2004-05-31,5.69
2004-04-30,5.35
2004-03-31,4.7
2004-02-29,4.89
2004-01-31,4.97
2003-12-31,5.15
2003-11-30,5.22
2003-10-31,5.26
2003-09-30,5.3
2003-08-31,5.66
2003-07-31,5.27
2003-06-30,4.63
2003-05-31,4.73
2003-04-30,5.12
2003-03-31,5.21
2003-02-28,5.14
2003-01-31,5.28
2002-12-31,5.32
2002-11-30,5.57
2002-10-31,5.7
2002-09-30,5.41
2002-08-31,5.64
2002-07-31,5.76
2002-06-30,5.99
2002-05-31,6.22
2002-04-30,6.35
2002-03-31,6.69
2002-02-28,6.28
2002-01-31,6.44
2001-12-31,6.65
2001-11-30,6.53
2001-10-31,6.13
2001-09-30,6.23
2001-08-31,6.47
2001-07-31,6.58
2001-06-30,6.63
2001-05-31,6.76
2001-04-30,6.63
2001-03-31,6.46
2001-02-28,6.69
2001-01-31,6.7
2000-12-31,6.79
2000-11-30,7.41
2000-10-31,7.36
2000-09-30,7.53
2000-08-31,7.72
2000-07-31,7.85
2000-06-30,7.92
2000-05-31,8.31
2000-04-30,7.79
2000-03-31,7.84
2000-02-29,7.92
2000-01-31,7.84
1999-12-31,7.66
1999-11-30,7.36
1999-10-31,7.57
1999-09-30,7.4
1999-08-31,7.43
1999-07-31,7.29
1999-06-30,7.28
1999-05-31,6.84
1999-04-30,6.55
1999-03-31,6.61
1999-02-28,6.51
1999-01-31,6.37
1998-12-31,6.48
1998-11-30,6.44
1998-10-31,6.48
1998-09-30,6.32
1998-08-31,6.61
1998-07-31,6.64
1998-06-30,6.64
1998-05-31,6.72
1998-04-30,6.78
1998-03-31,6.69
1998-02-28,6.69
1998-01-31,6.7
1997-12-31,6.57
1997-11-30,6.73
1997-10-31,6.76
1997-09-30,6.86
1997-08-31,7.12
1997-07-31,6.98
1997-06-30,7.13
1997-05-31,7.47
1997-04-30,7.62
1997-03-31,7.48
1997-02-28,7.15
1997-01-31,7.38
1996-12-31,7.16
1996-11-30,7.04
1996-10-31,7.37
1996-09-30,7.68
1996-08-31,7.6
1996-07-31,7.71
1996-06-30,7.82
1996-05-31,7.54
