GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars)
8600000US73949,73949,ZCTA5 73949,605,77,446,73,376,70,159,44,42009,5156,46890,8351,57188,10097,28750,6746,49033,5228,53050,5837,N,N,28501,6271
8600000US75001,75001,ZCTA5 75001,6607,383,2478,198,1668,198,4129,501,55874,3309,59714,5331,73500,25094,53613,3097,78017,6715,84017,8615,N,N,71520,8524
8600000US75002,75002,ZCTA5 75002,20393,450,16874,414,13593,533,3519,398,91638,3637,99867,4513,109552,3748,52493,4831,106017,4128,113004,4399,N,N,66000,6620
8600000US75006,75006,ZCTA5 75006,16534,445,11406,375,8103,408,5128,403,57274,2549,60963,3826,69362,4830,49510,5481,73168,2790,77151,3426,N,N,60745,4116
8600000US75007,75007,ZCTA5 75007,18284,471,14035,491,11340,477,4249,436,78660,3920,87081,4136,99147,5966,46309,6948,94243,3761,104063,4413,N,N,58006,6233
8600000US75009,75009,ZCTA5 75009,2744,209,2195,168,1869,188,549,166,76840,13237,95819,15689,104234,10267,39926,6869,102787,16012,113069,18771,N,N,57120,17384
8600000US75010,75010,ZCTA5 75010,8157,335,6246,381,4753,386,1911,314,74415,3803,81872,6521,91235,8999,57250,10386,90489,5219,95301,6557,N,N,67669,7756
8600000US75013,75013,ZCTA5 75013,9317,323,7648,299,6614,346,1669,274,123426,5017,134503,9559,143836,10505,54219,11442,138546,6961,151619,8086,N,N,76626,15141
8600000US75019,75019,ZCTA5 75019,13641,332,10772,257,9054,294,2869,335,106981,5313,123387,3539,133785,6025,53240,5158,130130,5146,143818,5725,N,N,76537,11762
8600000US75020,75020,ZCTA5 75020,8945,375,6004,288,4025,312,2941,375,41177,3709,54100,3868,66482,4187,22275,3455,54131,3163,63345,4118,N,N,32818,4775
8600000US75021,75021,ZCTA5 75021,3198,197,2227,196,1605,205,971,180,45733,6536,61860,7464,71099,8888,20179,5328,57288,4687,68146,6551,N,N,29762,5738
8600000US75022,75022,ZCTA5 75022,6744,148,5956,199,5448,194,788,221,141625,7241,146564,5759,150909,10146,63750,24986,165378,10795,177624,12163,N,N,71464,12307
