GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars)
8600000US73430,73430,ZCTA5 73430,422,44,342,48,294,52,80,37,58684,12042,61250,5739,61250,10182,28500,25234,58985,8047,63459,8008,N,N,34569,14511
8600000US73931,73931,ZCTA5 73931,217,37,157,36,131,34,60,22,66250,16875,68641,4193,70208,14281,30000,17838,69325,10424,75097,10863,N,N,54220,26368
8600000US73949,73949,ZCTA5 73949,562,61,418,61,348,54,144,44,46548,5670,55625,9499,59500,8440,32500,5430,58430,6437,64368,8096,N,N,34727,5620
8600000US75001,75001,ZCTA5 75001,7906,428,2674,240,2005,234,5232,542,59745,4496,72289,10496,90548,12433,52500,6316,78616,5884,92198,9922,N,N,68301,6811
8600000US75002,75002,ZCTA5 75002,21569,503,17688,412,14489,525,3881,446,93977,3298,103543,6335,114581,4293,54240,7174,113289,5065,121888,6003,N,N,69505,6328
8600000US75006,75006,ZCTA5 75006,17101,422,11580,357,8630,390,5521,463,57269,2962,62169,3191,69266,3054,47467,3928,73419,2634,78285,3251,N,N,59715,5006
8600000US75007,75007,ZCTA5 75007,18459,471,14355,428,11093,411,4104,415,79786,5261,89222,3476,99157,4589,52594,4348,98219,4055,105170,4518,N,N,69964,8681
8600000US75009,75009,ZCTA5 75009,2981,251,2424,225,2054,218,557,200,84661,13949,94549,14594,104939,15562,32366,15936,94146,8683,103314,8524,N,N,49775,17725
8600000US75010,75010,ZCTA5 75010,9050,381,6339,376,4767,354,2711,492,75990,8526,86947,4919,98892,9583,56313,6419,93094,6625,101165,8199,N,N,73213,9826
8600000US75013,75013,ZCTA5 75013,11118,362,9095,397,8039,395,2023,338,129805,7431,145997,11829,159416,10007,72008,12484,159457,10187,173585,12150,N,N,94171,13729
8600000US75019,75019,ZCTA5 75019,14309,341,11310,277,9610,273,2999,357,111325,4270,129444,7038,142309,5447,61539,8136,135828,4512,152770,5801,N,N,70140,5760
8600000US75020,75020,ZCTA5 75020,8824,265,5838,260,4175,308,2986,306,41843,3336,60263,2870,69135,3703,23976,3322,59467,3735,72982,5139,N,N,31232,3131
8600000US75021,75021,ZCTA5 75021,3231,190,2248,197,1654,188,983,171,39846,5260,52740,3976,63500,6765,19469,3082,53846,3742,63986,5115,N,N,28064,5279
8600000US75022,75022,ZCTA5 75022,7180,244,6369,182,5785,186,811,216,146865,7539,154363,4626,161581,8625,65025,27308,174094,12031,184670,12475,N,N,81750,19276
8600000US75023,75023,ZCTA5 75023,17728,307,12689,359,9937,397,5039,373,73602,3607,81831,3964,90337,4661,48788,5466,88323,3144,98501,3903,N,N,60670,5374
8600000US75024,75024,ZCTA5 75024,16638,377,10392,390,8873,393,6246,427,89119,3451,120802,5211,131658,5843,55170,3535,116860,4859,146089,7796,N,N,66270,4144
8600000US75025,75025,ZCTA5 75025,18901,325,14135,385,12015,400,4766,455,106301,4685,125279,5152,137453,5919,54162,5370,128372,6073,143418,5389,N,N,79722,18594
8600000US75028,75028,ZCTA5 75028,14816,339,12445,350,10657,370,2371,279,109781,5474,118434,5009,128476,4079,61612,11447,123572,4127,132972,4325,N,N,70308,6516
8600000US75032,75032,ZCTA5 75032,10400,376,8615,418,6927,473,1785,308,94288,3577,102212,7175,114699,8661,43111,6792,115122,6003,125719,7032,N,N,53634,8612
8600000US75034,75034,ZCTA5 75034,27276,479,21737,469,18649,510,5539,490,112626,3270,124855,3323,134338,5222,59446,6454,134958,4045,146793,4227,N,N,82632,7204
8600000US75035,75035,ZCTA5 75035,17425,395,14449,437,11999,441,2976,374,108694,5526,116003,4910,125410,5514,57464,8602,118319,3640,125130,3931,N,N,80069,8857
8600000US75038,75038,ZCTA5 75038,12107,400,7030,479,4551,365,5077,469,47515,3451,49443,3613,65177,3541,42942,3264,63800,3097,69263,4901,N,N,53812,4236
8600000US75039,75039,ZCTA5 75039,7327,264,3321,307,2816,300,4006,350,74445,7467,100938,11634,122361,23517,60780,4789,111319,11817,143169,22654,N,N,83263,9164
8600000US75040,75040,ZCTA5 75040,18222,348,14547,416,10474,463,3675,324,54621,2254,58177,3029,66879,3393,35498,4792,65661,2099,68489,2237,76799,2948,48014,5111
8600000US75041,75041,ZCTA5 75041,9637,252,7228,360,4647,399,2409,323,40629,2278,44710,4878,53613,5733,32036,3038,51434,2523,54503,3142,N,N,35717,3003
8600000US75042,75042,ZCTA5 75042,11567,242,8660,296,5545,344,2907,291,36726,2539,38661,2941,46518,4020,28537,4230,47852,2900,49444,3663,N,N,37758,3940
8600000US75043,75043,ZCTA5 75043,20523,419,15059,509,10358,582,5464,499,55914,2307,63197,2711,77217,3679,38725,3589,67795,2453,72975,2569,85859,3361,48874,5192
8600000US75044,75044,ZCTA5 75044,15088,293,11249,433,8134,415,3839,370,61428,2539,67858,4400,83546,4916,48867,6363,79841,3347,87645,4028,N,N,53348,4906
8600000US75048,75048,ZCTA5 75048,7147,366,5897,322,4760,409,1250,283,91543,5819,100725,9669,106563,7185,50144,11060,102471,5621,110856,6324,N,N,60877,8498
8600000US75050,75050,ZCTA5 75050,14727,433,9324,451,6250,415,5403,471,44091,2590,49466,3786,61491,5749,37750,3994,57429,3231,63829,4604,N,N,43533,3206
8600000US75051,75051,ZCTA5 75051,13123,395,9644,388,5689,408,3479,366,40315,2383,42620,2292,52925,3213,28861,3863,50037,2603,52562,3064,63533,3423,38395,4039
8600000US75052,75052,ZCTA5 75052,28422,549,22717,578,16511,652,5705,576,69032,2329,74520,2234,85431,3764,50522,4261,80185,2405,83902,2419,N,N,59975,6976
8600000US75054,75054,ZCTA5 75054,2114,208,1824,213,1659,225,290,132,104124,7815,109483,8020,111004,2985,46667,12409,109788,8593,116053,9796,N,N,65499,17946
8600000US75056,75056,ZCTA5 75056,18400,567,12648,447,9966,484,5752,573,79076,5003,97899,7540,109982,5815,49439,4976,104387,5460,120958,6988,N,N,64208,6465
8600000US75057,75057,ZCTA5 75057,5046,183,2936,214,1919,205,2110,247,51524,4462,55716,3749,62962,5121,45200,5894,58507,3579,61713,4818,N,N,51215,5211
8600000US75058,75058,ZCTA5 75058,1024,118,837,106,740,101,187,62,71389,16198,80625,14575,87917,13335,45625,22251,97333,20354,107186,24657,N,N,49451,15459
8600000US75060,75060,ZCTA5 75060,14649,319,11392,396,7864,495,3257,338,45355,2821,47749,3710,58151,5100,31753,5443,57136,2768,59902,2891,N,N,42091,5401
8600000US75061,75061,ZCTA5 75061,17475,291,11900,352,7625,374,5575,376,39891,1687,41866,1259,48890,3248,29837,3013,51611,1610,55542,1929,N,N,38813,2610
8600000US75062,75062,ZCTA5 75062,16376,399,10815,433,7410,417,5561,442,44839,1859,47277,2634,55903,5596,37734,3488,61032,2443,64566,3643,76217,4434,50003,4497
8600000US75063,75063,ZCTA5 75063,15501,400,9170,422,7020,349,6331,466,75905,5981,102436,3926,119063,6598,51638,3546,101970,4296,125414,7424,N,N,66720,5630
8600000US75065,75065,ZCTA5 75065,4172,225,3125,171,2215,208,1047,261,72450,7708,79180,9406,94222,9405,57625,14298,84027,5426,87921,7121,N,N,65935,12365
8600000US75067,75067,ZCTA5 75067,24757,634,15152,586,10388,549,9605,659,56514,2303,67481,2692,83292,3946,42881,3316,69554,2647,79260,3818,N,N,50621,2874
8600000US75068,75068,ZCTA5 75068,13203,528,10974,497,8562,520,2229,394,86587,4158,88794,3714,97924,5895,54319,3628,94684,4284,97906,4599,N,N,66210,11335
8600000US75069,75069,ZCTA5 75069,12734,443,8755,413,6495,422,3979,407,47886,2338,59248,9020,74606,4333,32042,4979,73651,4567,86865,6711,N,N,40560,3579
8600000US75070,75070,ZCTA5 75070,27021,558,22279,535,18583,572,4742,570,100848,3966,110643,3870,120380,3641,50440,4511,115180,4049,124816,4616,N,N,63596,5933
8600000US75071,75071,ZCTA5 75071,13486,445,10842,429,9043,472,2644,420,81167,5748,89208,7957,96318,6019,54830,7513,98763,5449,105459,6126,N,N,66473,11427
8600000US75074,75074,ZCTA5 75074,15753,367,11578,388,7874,437,4175,378,55152,4002,63367,3608,82599,5471,37595,6269,72523,2926,80684,3264,N,N,45113,5235
8600000US75075,75075,ZCTA5 75075,13322,298,9764,271,7730,344,3558,332,72576,4322,89733,5407,103216,3770,39935,5795,90658,4267,103062,5096,N,N,53839,5837
8600000US75076,75076,ZCTA5 75076,3107,214,2160,231,1717,236,947,193,53619,3685,67979,8118,69229,6253,26946,2726,66559,6389,79382,7941,N,N,36706,5983
8600000US75077,75077,ZCTA5 75077,12832,316,10161,360,8616,377,2671,332,101095,2437,109904,6201,121674,4241,51165,7862,117016,4341,127744,4731,N,N,69525,10050
8600000US75078,75078,ZCTA5 75078,4025,273,3477,201,3087,258,548,183,114267,15493,125694,12833,137378,10800,39833,41846,135867,9653,146847,10680,N,N,61186,21903
8600000US75080,75080,ZCTA5 75080,17856,416,11013,385,8321,423,6843,471,62130,2957,83295,4346,96250,5984,30492,4099,79503,2792,100397,4173,N,N,43654,3130
8600000US75081,75081,ZCTA5 75081,13670,417,9309,355,7175,366,4361,362,65111,3294,74378,6131,87594,5409,49683,3404,80830,4615,90077,6414,N,N,57794,4465
8600000US75082,75082,ZCTA5 75082,8109,274,6244,230,5473,261,1865,244,115286,5835,123636,12261,132403,8140,69052,9604,133934,6124,147418,8224,N,N,84814,10145
8600000US75087,75087,ZCTA5 75087,10163,405,8218,387,6810,367,1945,304,89078,6724,100805,7515,110763,5908,37440,6972,103549,5632,113718,6972,N,N,53930,6929
8600000US75088,75088,ZCTA5 75088,8536,254,7157,277,5536,325,1379,219,81997,4564,89314,8674,100151,6554,47386,11001,93995,4304,100087,4722,N,N,54821,8884
8600000US75089,75089,ZCTA5 75089,9354,319,7952,317,6584,390,1402,288,86115,7026,90563,9017,98959,5112,61094,18191,93580,5338,96608,5574,N,N,70559,11542
8600000US75090,75090,ZCTA5 75090,7956,313,5606,361,3803,348,2350,318,38839,2938,44394,5061,54953,6413,19295,4221,49288,3149,56174,3890,N,N,29129,4096
8600000US75092,75092,ZCTA5 75092,9511,442,6018,320,4468,292,3493,397,54312,4596,71379,5417,79463,3613,35007,5706,69322,4389,84090,5924,N,N,43146,5289
8600000US75093,75093,ZCTA5 75093,19267,350,13444,444,11175,405,5823,446,99378,5698,124011,9611,141362,7523,53316,5891,146432,6939,175312,10493,N,N,77216,8319
8600000US75094,75094,ZCTA5 75094,5747,253,5257,238,4780,274,490,166,121552,9105,127888,11732,134292,11270,75000,36332,140980,9883,144425,10453,N,N,99958,22549
8600000US75098,75098,ZCTA5 75098,15737,504,12731,469,10406,531,3006,415,83989,2684,87917,3486,97793,5244,49710,9828,92247,3670,97605,4382,N,N,63649,7172
8600000US75101,75101,ZCTA5 75101,211,40,170,40,141,38,41,19,33194,5736,35313,4967,37917,12859,22708,5141,43556,7938,46158,9400,N,N,29334,10772
