GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars)
8600000US79057,79057,ZCTA5 79057,453,94,303,67,225,56,150,56,48854,15284,54107,12302,60417,10607,24583,12732,59220,10064,64338,8744,N,N,47133,24786
8600000US79058,79058,ZCTA5 79058,0,13,0,13,0,13,0,13,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**
8600000US79059,79059,ZCTA5 79059,305,38,245,38,202,40,60,27,65750,10767,72708,18164,80313,16887,26719,24443,81338,16083,89236,18614,N,N,39762,11296
8600000US79061,79061,ZCTA5 79061,204,50,149,42,138,40,55,29,60417,13268,72083,18936,73750,28046,41875,20785,82512,23178,98696,27532,N,N,38669,7973
8600000US79062,79062,ZCTA5 79062,104,34,86,34,78,33,18,11,58750,28454,63333,29749,66250,44917,45000,30114,61398,11682,63064,13040,N,N,43394,12987
8600000US79063,79063,ZCTA5 79063,219,47,156,41,126,36,63,29,52750,15900,67500,15798,78125,10557,32159,5732,65338,11506,77196,14904,N,N,32022,4208
8600000US79064,79064,ZCTA5 79064,920,85,688,82,516,87,232,70,36310,5381,41250,9504,47955,3277,24545,6197,44815,4667,48998,5920,N,N,29957,6691
8600000US79065,79065,ZCTA5 79065,7903,237,5462,258,4325,229,2441,255,44861,2663,56125,5812,66165,4343,23593,2734,60521,5999,71949,8402,N,N,31913,3104
8600000US79068,79068,ZCTA5 79068,1091,108,901,109,732,108,190,72,61563,9168,65688,7391,72059,6563,28056,7589,67119,7578,72885,8655,N,N,35742,9018
8600000US79070,79070,ZCTA5 79070,3661,121,2750,184,2079,203,911,147,50750,3334,57935,10164,68355,7097,23345,6360,61737,4875,69251,5685,N,N,33070,6145
8600000US79072,79072,ZCTA5 79072,9085,278,6721,298,4929,332,2364,270,40415,3197,46648,2828,56882,3084,23958,5833,51467,2552,58569,3369,N,N,28299,2927
8600000US79078,79078,ZCTA5 79078,173,50,115,47,80,35,58,30,50208,12967,57917,15491,63462,11697,13333,49229,53247,13238,62773,13600,N,N,24369,15893
8600000US79079,79079,ZCTA5 79079,1234,93,782,101,596,81,452,84,40000,4654,51900,7635,59773,13349,19392,6443,65100,13764,69699,10290,N,N,52746,32917
8600000US79080,79080,ZCTA5 79080,247,56,171,55,143,56,76,29,50391,10051,51797,32982,66806,19683,25769,23040,53408,9842,60695,11827,N,N,35824,11266
8600000US79081,79081,ZCTA5 79081,1371,105,1008,111,776,95,363,78,47696,5562,54621,4904,60867,4009,23456,8266,56415,5947,64318,8168,N,N,29696,5014
8600000US79082,79082,ZCTA5 79082,188,46,154,40,135,36,34,23,39205,20238,61250,35642,63977,30439,36346,2121,55004,10580,59993,12061,N,N,32406,4401
8600000US79083,79083,ZCTA5 79083,859,102,569,85,472,81,290,90,52153,6637,59485,13158,76607,17776,28421,7178,67247,8571,75066,7186,N,N,50135,23062
8600000US79084,79084,ZCTA5 79084,787,77,616,66,509,60,171,52,44803,6176,52292,8914,60568,10157,31949,3409,59382,5818,64177,6494,N,N,39787,10171
8600000US79085,79085,ZCTA5 79085,23,25,23,25,23,25,0,13,57604,54829,57604,54829,57604,54829,-,**,N,N,N,N,N,N,-,**
8600000US79086,79086,ZCTA5 79086,831,87,622,75,544,74,209,53,46366,5569,55441,10549,57500,15294,27083,9480,61360,6446,66960,7912,N,N,44176,14990
8600000US79087,79087,ZCTA5 79087,290,57,236,49,199,47,54,33,50300,11007,51136,8716,53438,9473,38750,16014,56089,9939,56977,11593,N,N,49226,19208
8600000US79088,79088,ZCTA5 79088,1908,174,1323,174,1072,151,585,158,37393,6102,46620,11907,50068,12630,17160,1968,48208,5148,57400,7621,N,N,21921,3911
8600000US79091,79091,ZCTA5 79091,33,24,25,21,0,13,8,13,44219,12080,50268,16714,-,**,-,**,46506,6127,N,N,N,N,N,N
8600000US79092,79092,ZCTA5 79092,446,74,300,60,267,58,146,39,51696,7398,63500,13544,65795,6642,22639,5779,69140,14135,86312,19902,N,N,32222,8193
8600000US79093,79093,ZCTA5 79093,7,8,7,8,3,5,0,13,52188,1963,52188,1963,-,**,-,**,N,N,N,N,N,N,-,**
8600000US79094,79094,ZCTA5 79094,48,24,35,23,25,19,13,13,73500,40915,75795,2919,74250,10624,18250,19004,58406,20423,74174,13352,N,N,15954,9475
8600000US79095,79095,ZCTA5 79095,1044,75,685,71,519,74,359,78,39063,6378,42361,9836,59625,18619,24018,17749,57602,8399,68868,12238,N,N,35468,8084
8600000US79096,79096,ZCTA5 79096,761,85,613,77,487,80,148,50,52208,9241,56771,10943,69464,15196,36000,9601,77122,12370,82271,13263,N,N,51091,17117
8600000US79097,79097,ZCTA5 79097,515,66,393,62,370,63,122,39,65288,14067,80563,10366,81000,8524,24107,10771,68771,6934,79150,8162,N,N,33686,7644
8600000US79098,79098,ZCTA5 79098,162,46,140,46,107,35,22,16,54808,24677,56875,25216,80417,34424,21250,23746,64654,13545,67141,15851,N,N,35477,18549
8600000US79101,79101,ZCTA5 79101,1198,191,443,119,367,120,755,194,22037,5579,36141,20283,44375,15289,17804,4750,37757,10361,41706,10542,N,N,35315,16480
8600000US79102,79102,ZCTA5 79102,3917,214,2213,200,1537,199,1704,247,37195,3137,43338,6378,54698,10413,28477,5261,48069,4460,56669,7428,N,N,35271,3721
8600000US79103,79103,ZCTA5 79103,3707,187,2898,183,1728,201,809,149,46263,5865,49608,5768,61652,3015,25060,7207,52885,5356,52994,3705,N,N,43046,21635
8600000US79104,79104,ZCTA5 79104,2554,201,1695,245,977,169,859,216,28359,6102,33846,2830,42202,9116,17770,3433,37655,5277,43038,6906,N,N,23266,3286
8600000US79105,79105,ZCTA5 79105,0,13,0,13,0,13,0,13,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**
8600000US79106,79106,ZCTA5 79106,11304,330,6736,294,4583,323,4568,326,38785,2648,52974,4198,64185,4565,23364,3049,51506,2245,64504,3394,N,N,30475,2317
8600000US79107,79107,ZCTA5 79107,10349,347,7441,356,4253,343,2908,281,31423,1829,34880,2501,43685,3954,19829,3127,38592,1926,42578,2358,N,N,23784,2440
8600000US79108,79108,ZCTA5 79108,5090,245,3525,237,2608,205,1565,268,53249,2870,62454,7970,72900,4875,36267,13209,60620,3367,67645,3681,N,N,43125,6147
8600000US79109,79109,ZCTA5 79109,19359,497,11581,496,8516,462,7778,475,52894,2087,68261,3774,79717,2143,30160,2967,66589,2797,83056,4455,N,N,40099,2605
8600000US79110,79110,ZCTA5 79110,6945,237,4830,244,3512,283,2115,264,48007,2858,56047,3858,66843,3935,30396,4608,55904,2764,63511,3699,N,N,36021,3610
8600000US79111,79111,ZCTA5 79111,442,55,328,53,223,54,114,56,55063,9291,55875,6279,62813,14920,28393,22644,54914,7722,58621,8455,N,N,39847,15984
8600000US79118,79118,ZCTA5 79118,6481,284,5249,239,4347,251,1232,202,61453,2147,67192,5170,75213,4276,32965,9155,72012,3592,77227,3888,N,N,45853,7848
8600000US79119,79119,ZCTA5 79119,4171,178,3035,227,2780,221,1136,220,91201,12416,110443,8111,113148,7220,32083,8302,112323,10625,131167,9807,N,N,61214,20596
8600000US79121,79121,ZCTA5 79121,2828,161,1844,184,1654,194,984,210,71657,6317,87746,6759,88697,7942,43897,6115,103807,16212,131433,22632,N,N,51786,6235
8600000US79124,79124,ZCTA5 79124,3426,193,2407,154,2197,141,1019,152,74153,8325,92069,5184,94504,4901,40114,8619,96935,10063,117137,13353,N,N,47992,8614
8600000US79201,79201,ZCTA5 79201,2421,197,1697,170,1403,228,724,190,42357,9186,53052,8475,58876,10080,21250,13408,58273,7216,68159,10482,N,N,32198,8328
8600000US79220,79220,ZCTA5 79220,81,29,62,26,54,25,19,10,47292,20501,55000,19293,56250,25436,29583,28503,50895,10012,52547,10235,N,N,45505,23630
8600000US79225,79225,ZCTA5 79225,361,80,269,71,228,69,92,41,47596,8903,54375,14893,62917,6176,25750,11847,52764,9157,56747,8154,N,N,41117,25377
8600000US79226,79226,ZCTA5 79226,1174,102,812,93,619,85,362,73,38966,5476,55625,6842,63802,5090,23125,6068,51166,4355,61440,6371,N,N,28025,3825
8600000US79227,79227,ZCTA5 79227,563,78,335,66,253,59,228,63,32589,9521,41445,3172,43688,15615,19038,3721,44833,5982,52977,8237,N,N,31799,8829
8600000US79229,79229,ZCTA5 79229,178,42,97,30,87,29,81,30,32500,9315,38750,23790,49375,27644,25208,23568,40696,6057,49435,7507,N,N,30232,12570
8600000US79230,79230,ZCTA5 79230,63,37,47,33,44,33,16,15,57109,3833,56953,1892,57188,1885,95278,140489,55538,13469,53894,9966,N,N,57263,48002
8600000US79231,79231,ZCTA5 79231,4,6,4,6,0,13,0,13,-,**,-,**,-,**,-,**,N,N,N,N,N,N,-,**
8600000US79233,79233,ZCTA5 79233,77,28,46,25,26,21,31,18,17656,12013,24375,73520,96000,179593,8472,6962,82027,85416,131370,132498,N,N,8813,7969
8600000US79234,79234,ZCTA5 79234,28,14,24,12,24,12,4,6,68750,96830,99167,83690,99167,83690,-,**,76229,28186,84575,33484,N,N,N,N
8600000US79235,79235,ZCTA5 79235,1559,123,1102,140,780,153,457,130,31830,4392,38393,8260,51919,8104,20221,9179,46708,6667,55244,8072,N,N,25471,5577
8600000US79236,79236,ZCTA5 79236,83,24,55,23,49,23,28,17,53750,28024,72250,27287,83542,18053,29375,15086,61835,16752,79015,19523,N,N,28089,6186
8600000US79237,79237,ZCTA5 79237,185,45,134,36,112,38,51,25,64097,7284,68333,24234,75357,24456,43438,38351,74308,14847,84628,21358,N,N,42555,11357
8600000US79239,79239,ZCTA5 79239,74,28,54,27,42,24,20,13,58194,9799,58611,9006,59444,7722,31667,60554,52562,12526,55289,13926,N,N,45200,25061
8600000US79240,79240,ZCTA5 79240,23,24,23,24,23,24,0,13,19554,65668,19554,65668,19554,65668,-,**,37178,23839,37178,23839,N,N,-,**
8600000US79241,79241,ZCTA5 79241,1001,114,774,105,661,95,227,68,46311,8364,52027,9873,57450,9183,13482,5298,52388,5877,59718,6110,N,N,26108,10324
8600000US79243,79243,ZCTA5 79243,21,20,21,20,15,19,0,13,75481,18547,75481,18547,76058,443,-,**,68538,10483,68538,10483,N,N,-,**
8600000US79244,79244,ZCTA5 79244,257,50,129,40,103,35,128,39,35066,6199,44792,21244,53542,12995,13696,2332,40758,8000,56396,11989,N,N,24110,7931
8600000US79245,79245,ZCTA5 79245,838,87,549,76,419,65,289,59,31625,6860,45069,3274,46103,8646,16098,2614,39978,4757,50074,6875,N,N,19388,3188
8600000US79247,79247,ZCTA5 79247,20,16,12,8,10,8,8,13,30000,28576,48750,26738,55833,26381,-,**,38570,11990,45075,12887,N,N,N,N
8600000US79248,79248,ZCTA5 79248,709,192,511,148,417,120,198,73,34974,5919,42039,8564,47361,6792,18523,5075,46237,5249,52085,6696,N,N,30629,8751
8600000US79250,79250,ZCTA5 79250,527,66,388,58,300,54,139,39,40586,6400,46875,10044,51250,12125,23125,7136,46988,5399,53133,6594,N,N,27411,5762
8600000US79251,79251,ZCTA5 79251,33,20,18,14,14,12,15,17,51607,22324,52143,55292,75833,32708,12083,64567,48233,23358,64883,16203,N,N,N,N
8600000US79252,79252,ZCTA5 79252,1396,166,929,125,599,116,467,124,32151,7676,36128,7274,55594,9322,28851,5318,41818,6474,45546,9244,N,N,31699,6082
8600000US79255,79255,ZCTA5 79255,196,42,147,35,103,29,49,27,31250,8473,40179,15060,50938,21695,11875,14307,48279,11941,57827,14091,N,N,19353,8028
8600000US79256,79256,ZCTA5 79256,154,36,95,32,82,29,59,23,32500,6448,35893,7816,38750,12232,27188,9326,43566,9527,50844,13147,N,N,31554,6908
8600000US79257,79257,ZCTA5 79257,475,63,309,56,262,55,166,40,37716,5415,52404,13329,55500,13535,25865,4131,50955,6522,61580,8882,N,N,29673,4566
8600000US79258,79258,ZCTA5 79258,5,9,5,9,5,9,0,13,-,**,-,**,-,**,-,**,N,N,N,N,N,N,-,**
8600000US79259,79259,ZCTA5 79259,45,32,29,25,29,25,16,22,56442,76238,55481,32396,55481,32396,108462,14169,69351,23645,56079,21505,N,N,N,N
8600000US79261,79261,ZCTA5 79261,248,48,184,40,164,40,64,25,32000,9975,36500,6044,38269,8734,20577,4026,53972,13226,59367,15404,N,N,38220,21615
8600000US79311,79311,ZCTA5 79311,1244,144,982,136,798,115,262,62,50519,9966,65213,15110,72045,10028,25469,5820,61722,6672,68171,8575,N,N,29980,6497
8600000US79312,79312,ZCTA5 79312,310,59,231,50,197,48,79,31,37500,6887,40234,4059,42109,5654,14861,28384,46173,7126,53227,8880,N,N,24828,8697
8600000US79313,79313,ZCTA5 79313,527,65,389,58,274,51,138,37,37188,8196,46442,10671,63333,12505,26875,10262,70936,18867,72811,19029,N,N,57227,46424
8600000US79314,79314,ZCTA5 79314,31,17,19,12,19,12,12,12,57917,71016,64688,32631,64688,32631,11667,35155,51245,23037,69142,32850,N,N,22908,21096
8600000US79316,79316,ZCTA5 79316,3680,183,2356,234,1702,206,1324,221,33652,3809,44025,2996,53304,5762,17244,5639,54874,11261,71878,17686,N,N,22876,3202
8600000US79322,79322,ZCTA5 79322,779,86,541,67,425,55,238,53,40321,3249,48229,7257,53454,5252,19464,6974,52194,6765,63256,9107,N,N,24573,5147
8600000US79323,79323,ZCTA5 79323,1929,183,1568,152,1333,154,361,134,55701,6329,58723,10026,60114,11163,29718,6845,69600,9085,72773,8648,N,N,35277,7018
8600000US79324,79324,ZCTA5 79324,1,3,1,3,1,3,0,13,-,**,-,**,-,**,-,**,N,N,N,N,N,N,-,**
8600000US79325,79325,ZCTA5 79325,863,93,607,89,541,81,256,59,48092,8596,65938,12739,74063,11546,26974,6443,65646,7595,78628,9759,N,N,34793,6144
8600000US79326,79326,ZCTA5 79326,0,13,0,13,0,13,0,13,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**
8600000US79329,79329,ZCTA5 79329,1230,131,993,126,791,124,237,73,60888,4015,66830,8083,80655,13443,24213,3844,80017,14339,91179,16441,N,N,27048,6068
8600000US79330,79330,ZCTA5 79330,32,30,32,30,32,30,0,13,25833,8192,25833,8192,25833,8192,-,**,33372,17415,33372,17415,N,N,-,**
8600000US79331,79331,ZCTA5 79331,4186,224,2836,207,2178,211,1350,189,40372,4720,52586,7031,62930,4429,20357,3697,53482,4492,62565,5931,N,N,31058,6241
8600000US79336,79336,ZCTA5 79336,5915,232,4459,246,3520,227,1456,217,51493,5027,60345,6787,67544,5867,21552,3574,63767,4060,73493,5370,N,N,30756,4691
8600000US79339,79339,ZCTA5 79339,2541,180,1758,185,1173,136,783,144,33701,3454,43720,3263,56597,13906,19740,5598,47388,4016,54702,5064,N,N,27526,4874
8600000US79342,79342,ZCTA5 79342,186,52,151,50,129,46,35,17,54167,9036,52917,10652,55083,14880,45208,11518,69893,16472,72919,20002,N,N,47980,11385
8600000US79343,79343,ZCTA5 79343,536,57,423,46,360,51,113,40,40000,9740,41250,11084,44167,14195,26875,29388,50431,5546,52377,6717,N,N,42260,11266
8600000US79344,79344,ZCTA5 79344,29,24,10,12,10,12,19,27,28021,4064,62500,104120,62500,104120,28021,6753,39238,21763,N,N,N,N,N,N
8600000US79345,79345,ZCTA5 79345,321,73,235,67,187,57,86,38,51917,5140,53472,8809,59583,38261,24773,20580,63383,10674,71627,12349,N,N,34988,7534
8600000US79346,79346,ZCTA5 79346,856,72,643,70,525,64,213,47,40227,6025,46510,4225,47550,4855,20598,6649,48827,6924,53912,8030,N,N,29323,7894
8600000US79347,79347,ZCTA5 79347,2395,174,1781,183,1513,213,614,157,41392,4478,47485,7766,53373,10871,13600,2964,53936,7450,64210,8976,N,N,22940,6374
8600000US79350,79350,ZCTA5 79350,116,52,99,51,67,36,17,16,48333,20004,55188,15177,55688,6696,12361,15550,47348,11850,52460,12137,N,N,17582,9474
8600000US79351,79351,ZCTA5 79351,521,68,387,58,297,51,134,49,31016,5308,49063,17675,59375,11079,19000,5231,51314,8384,59865,10991,N,N,26369,10233
8600000US79353,79353,ZCTA5 79353,3,5,3,5,3,5,0,13,-,**,-,**,-,**,-,**,N,N,N,N,N,N,-,**
8600000US79355,79355,ZCTA5 79355,765,117,533,90,418,87,232,80,36458,14715,46750,9005,51786,11324,17500,8409,48789,6235,58832,8379,N,N,23340,8091
8600000US79356,79356,ZCTA5 79356,1616,444,1157,355,839,307,459,158,44107,14546,53899,14089,63504,11142,23363,3576,56237,8002,67605,10360,N,N,25849,4844
8600000US79357,79357,ZCTA5 79357,820,65,556,59,413,61,264,50,30745,2454,35526,6408,39943,3752,21136,6659,45674,5742,48672,6030,N,N,37728,15285
8600000US79358,79358,ZCTA5 79358,406,52,335,47,285,45,71,22,57813,11331,63438,8797,69554,10077,30972,4369,66516,9946,68209,10957,N,N,58399,29761
8600000US79359,79359,ZCTA5 79359,898,136,694,97,534,113,204,99,49113,9335,56250,7004,64167,13651,14265,4589,58444,9722,65320,10349,N,N,31052,16893
8600000US79360,79360,ZCTA5 79360,4151,233,3166,254,2751,235,985,211,50270,5115,56711,9374,59606,10090,26573,15600,70765,10789,80252,13821,N,N,37263,9093
8600000US79363,79363,ZCTA5 79363,1722,131,1458,144,1156,132,264,76,52820,12708,55833,13807,70000,14668,23929,7813,67669,7261,73851,8545,N,N,30219,6594
8600000US79364,79364,ZCTA5 79364,3175,249,2151,181,1544,197,1024,238,35078,4462,42649,8511,55662,8380,23060,6040,46003,4753,52750,6449,N,N,29951,6181
8600000US79366,79366,ZCTA5 79366,465,75,407,73,391,72,58,21,102708,10563,106146,11273,106979,10598,32143,48870,158582,27689,170490,31676,N,N,72153,33460
8600000US79367,79367,ZCTA5 79367,231,62,176,56,136,48,55,30,44226,8458,51071,7535,56667,9378,16477,8187,48223,8028,54170,9824,N,N,21680,6286
8600000US79369,79369,ZCTA5 79369,45,27,45,27,45,27,0,13,95208,109891,95208,109891,95208,109891,-,**,110087,50652,110087,50652,N,N,-,**
8600000US79370,79370,ZCTA5 79370,651,84,441,68,359,63,210,44,31161,5528,39688,20841,49688,17670,17000,5019,48837,6865,59429,9917,N,N,25699,5079
8600000US79371,79371,ZCTA5 79371,484,74,342,59,280,61,142,52,36290,4819,45000,8317,49000,15824,23611,9180,51061,6225,59277,7102,N,N,24531,4252
8600000US79372,79372,ZCTA5 79372,429,64,336,59,256,55,93,34,49671,13736,62794,10635,65833,9940,14750,13938,57395,6862,66719,8381,N,N,22897,8810
8600000US79373,79373,ZCTA5 79373,1275,94,917,80,628,94,358,73,45694,6967,50707,8719,59423,9838,21667,6881,53573,4971,58596,5129,N,N,32286,9358
8600000US79376,79376,ZCTA5 79376,48,29,27,22,27,22,21,26,21071,18052,22411,62050,22411,62050,18958,645,39904,23921,49811,39737,N,N,N,N
8600000US79377,79377,ZCTA5 79377,74,28,63,25,57,25,11,9,40625,15600,42188,21676,45938,22613,9583,33149,50488,13518,55244,15850,N,N,23245,15797
8600000US79378,79378,ZCTA5 79378,95,36,66,31,47,27,29,18,50250,17746,75625,42564,82969,9245,42250,9091,56986,11115,63380,14248,N,N,42434,11796
