GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars)
8600000US78255,78255,ZCTA5 78255,4344,264,3708,232,3159,223,636,148,121098,4538,124912,4610,131300,5074,76090,4324
8600000US78256,78256,ZCTA5 78256,3496,260,1820,239,1501,189,1676,246,73421,17511,142750,21217,161397,25665,36939,12710
8600000US78257,78257,ZCTA5 78257,1908,163,1313,147,1129,148,595,138,128302,10650,161394,39083,182988,55491,59125,8494
8600000US78258,78258,ZCTA5 78258,15682,368,11379,447,9775,493,4303,448,102665,3717,125107,7472,138527,7402,57325,6086
8600000US78259,78259,ZCTA5 78259,8568,253,6737,322,5641,299,1831,264,91961,4326,100619,7779,108793,6072,67446,13893
8600000US78260,78260,ZCTA5 78260,8610,250,7364,273,6273,272,1246,214,112255,5399,118984,6453,126875,7965,70809,9715
8600000US78261,78261,ZCTA5 78261,5084,230,3921,228,3392,219,1163,236,101003,4100,106659,7119,114708,8570,68819,15677
8600000US78263,78263,ZCTA5 78263,1579,176,1140,171,852,150,439,148,68694,12659,73977,13180,84833,31982,36108,12438
8600000US78264,78264,ZCTA5 78264,2888,237,2358,247,1708,203,530,121,49675,6781,52733,6409,55212,5928,25313,16675
8600000US78266,78266,ZCTA5 78266,2353,183,1979,184,1805,168,374,125,106563,7969,112851,5682,114396,11344,43077,18632
8600000US78330,78330,ZCTA5 78330,313,73,251,70,186,60,62,28,42440,18845,55865,10661,68958,13156,22188,9911
8600000US78332,78332,ZCTA5 78332,9444,402,7080,361,4817,349,2364,307,41966,4860,51561,2988,66332,5662,20048,3129
8600000US78335,78335,ZCTA5 78335,0,13,0,13,0,13,0,13,-,**,-,**,-,**,-,**
8600000US78336,78336,ZCTA5 78336,4690,389,3012,300,2243,266,1678,317,41638,4767,49240,4356,62292,11767,24091,6467
