Mortgage Rate,year,month
4.56,2018,5
4.58,2018,4
4.44,2018,3
4.4,2018,2
4.15,2018,1
3.99,2017,12
3.9,2017,11
3.94,2017,10
3.83,2017,9
3.82,2017,8
3.92,2017,7
3.88,2017,6
3.95,2017,5
4.03,2017,4
4.14,2017,3
4.16,2017,2
4.19,2017,1
4.32,2016,12
4.03,2016,11
3.47,2016,10
3.42,2016,9
3.43,2016,8
3.48,2016,7
3.48,2016,6
3.64,2016,5
3.66,2016,4
3.71,2016,3
3.62,2016,2
3.79,2016,1
4.01,2015,12
3.95,2015,11
3.76,2015,10
3.86,2015,9
3.84,2015,8
3.98,2015,7
4.02,2015,6
3.87,2015,5
3.68,2015,4
3.69,2015,3
3.8,2015,2
3.66,2015,1
3.87,2014,12
3.97,2014,11
3.98,2014,10
4.2,2014,9
4.1,2014,8
4.12,2014,7
4.14,2014,6
4.12,2014,5
4.33,2014,4
4.4,2014,3
4.37,2014,2
4.32,2014,1
4.48,2013,12
4.29,2013,11
4.1,2013,10
4.32,2013,9
4.51,2013,8
4.31,2013,7
4.46,2013,6
3.81,2013,5
3.4,2013,4
3.57,2013,3
3.51,2013,2
3.53,2013,1
3.35,2012,12
3.32,2012,11
3.41,2012,10
3.4,2012,9
3.59,2012,8
3.49,2012,7
3.66,2012,6
3.75,2012,5
3.88,2012,4
3.99,2012,3
3.95,2012,2
3.98,2012,1
3.95,2011,12
3.98,2011,11
4.1,2011,10
4.01,2011,9
4.22,2011,8
4.55,2011,7
4.51,2011,6
4.6,2011,5
4.78,2011,4
4.86,2011,3
4.95,2011,2
4.8,2011,1
4.86,2010,12
4.4,2010,11
4.23,2010,10
4.32,2010,9
4.36,2010,8
4.54,2010,7
4.69,2010,6
4.78,2010,5
5.06,2010,4
4.99,2010,3
5.05,2010,2
4.98,2010,1
5.14,2009,12
4.78,2009,11
5.03,2009,10
5.04,2009,9
5.14,2009,8
5.25,2009,7
5.42,2009,6
4.91,2009,5
4.78,2009,4
4.85,2009,3
5.07,2009,2
5.1,2009,1
5.1,2008,12
5.97,2008,11
6.46,2008,10
6.09,2008,9
6.4,2008,8
6.52,2008,7
6.45,2008,6
6.08,2008,5
6.03,2008,4
5.85,2008,3
6.24,2008,2
5.68,2008,1
6.17,2007,12
6.1,2007,11
6.33,2007,10
6.42,2007,9
6.45,2007,8
6.69,2007,7
6.67,2007,6
6.42,2007,5
6.16,2007,4
6.16,2007,3
6.22,2007,2
6.25,2007,1
6.18,2006,12
6.14,2006,11
6.4,2006,10
6.31,2006,9
6.44,2006,8
6.72,2006,7
6.78,2006,6
6.62,2006,5
6.58,2006,4
6.35,2006,3
6.26,2006,2
6.12,2006,1
6.22,2005,12
6.28,2005,11
6.15,2005,10
5.91,2005,9
5.77,2005,8
5.77,2005,7
5.53,2005,6
5.65,2005,5
5.78,2005,4
6.04,2005,3
5.69,2005,2
5.66,2005,1
5.81,2004,12
5.72,2004,11
5.64,2004,10
5.72,2004,9
5.82,2004,8
6.08,2004,7
6.25,2004,6
6.32,2004,5
6.01,2004,4
5.4,2004,3
5.58,2004,2
5.68,2004,1
5.85,2003,12
5.89,2003,11
5.94,2003,10
5.98,2003,9
6.32,2003,8
5.94,2003,7
5.24,2003,6
5.31,2003,5
5.79,2003,4
5.91,2003,3
5.79,2003,2
5.9,2003,1
5.93,2002,12
6.13,2002,11
6.31,2002,10
5.99,2002,9
6.22,2002,8
6.34,2002,7
6.55,2002,6
6.76,2002,5
6.88,2002,4
7.18,2002,3
6.81,2002,2
6.96,2002,1
7.16,2001,12
7.02,2001,11
6.64,2001,10
6.72,2001,9
6.92,2001,8
7.03,2001,7
7.11,2001,6
7.2,2001,5
7.12,2001,4
6.91,2001,3
7.12,2001,2
7.15,2001,1
7.13,2000,12
7.73,2000,11
7.68,2000,10
7.88,2000,9
7.99,2000,8
8.13,2000,7
8.22,2000,6
8.62,2000,5
8.13,2000,4
8.23,2000,3
8.31,2000,2
8.25,2000,1
8.06,1999,12
7.75,1999,11
7.96,1999,10
7.76,1999,9
7.8,1999,8
7.7,1999,7
7.63,1999,6
7.23,1999,5
6.93,1999,4
6.98,1999,3
6.89,1999,2
6.74,1999,1
6.83,1998,12
6.78,1998,11
6.83,1998,10
6.64,1998,9
6.92,1998,8
6.97,1998,7
6.96,1998,6
7.07,1998,5
7.15,1998,4
7.08,1998,3
7.09,1998,2
7.12,1998,1
6.99,1997,12
7.17,1997,11
7.21,1997,10
7.28,1997,9
7.58,1997,8
7.43,1997,7
7.58,1997,6
7.94,1997,5
8.08,1997,4
7.97,1997,3
7.65,1997,2
7.88,1997,1
7.64,1996,12
7.52,1996,11
7.86,1996,10
8.16,1996,9
8.09,1996,8
8.19,1996,7
8.29,1996,6
8.03,1996,5
7.92,1996,4
