OriginalZip,CalendarYearIssued,Issuedmonth,Total_NewConstructions,Total_RemodelsRepairs,TotalCost_NewConstructions,TotalCost_RemodelRepairs
78660,1997,5,1,0,70000,0
78660,1997,6,39,0,2355770,0
78660,1997,7,6,0,426202,0
78660,1997,8,4,0,252700,0
78660,1997,9,38,0,2553997,0
78660,1997,10,5,0,322635,0
78660,1997,11,2,0,135615,0
78660,1998,1,3,0,255000,0
78660,1998,2,0,1,0,500
78660,1998,4,39,0,2366520,0
78660,1998,6,1,0,100000,0
78660,1998,7,18,0,1288500,0
78660,1998,8,28,0,1964429,0
78660,1998,9,6,0,420000,0
78660,1998,10,14,0,980000,0
78660,1998,11,10,0,700000,0
78660,1998,12,10,0,700000,0
78660,1999,1,8,0,560000,0
78660,1999,2,2,0,140000,0
78660,1999,3,7,0,490000,0
78660,1999,4,5,0,350000,0
78660,1999,5,7,1,520000,1000
78660,1999,6,4,0,310000,0
78660,1999,7,4,0,288710,0
78660,1999,8,3,1,168806,700
78660,1999,9,0,1,0,0
78660,1999,10,11,0,580608,0
78660,1999,11,26,0,1274013,0
78660,1999,12,17,0,805744,0
78660,2000,11,1,0,90000,0
78660,2001,6,0,1,0,0
78660,2001,11,27,2,1501865,0
78660,2001,12,17,0,984780,0
78660,2002,1,31,3,1769045,55020
78660,2002,2,2,0,117845,0
78660,2002,3,1,0,69195,0
78660,2002,4,3,0,155015,0
78660,2002,5,0,4,0,0
78660,2002,6,4,0,217210,0
78660,2002,7,1,0,68985,0
78660,2002,9,0,1,0,2011
78660,2002,10,1,0,50875,0
78660,2003,2,1,1,66045,9850
78660,2003,7,20,0,1038836,0
78660,2003,8,11,0,555871,0
78660,2003,9,4,1,204603,0
78660,2003,10,5,0,229503,0
78660,2003,12,3,0,159898,0
78660,2004,1,2,0,105183,0
78660,2004,2,3,0,161361,0
78660,2004,3,3,0,150041,0
78660,2004,4,1,0,51894,0
78660,2004,6,3,0,106099,0
78660,2004,7,1,0,42330,0
78660,2004,9,1,0,61886,0
78660,2005,1,1,0,50000,0
78660,2005,6,0,1,0,0
78660,2005,8,0,12,0,0
78660,2005,9,0,6,0,0
78660,2005,10,0,3,0,0
78660,2005,11,0,2,0,0
78660,2005,12,0,3,0,0
78660,2006,1,0,3,0,0
78660,2006,2,0,30,0,0
78660,2006,3,0,23,0,0
78660,2006,5,0,11,0,0
78660,2006,6,0,9,0,0
78660,2006,9,0,3,0,0
78660,2006,10,0,3,0,0
78660,2007,10,1,0,83910,0
78660,2007,11,1,0,75519,0
78660,2007,12,3,0,208415,0
78660,2008,1,1,0,83100,0
78660,2008,2,1,0,62450,0
78660,2008,3,3,1,197765,74000
78660,2008,4,5,0,505048,0
78660,2008,5,3,0,303880,0
78660,2008,6,2,0,172610,0
78660,2008,7,17,0,1542300,0
78660,2008,8,5,0,503431,0
78660,2008,9,13,0,1330620,0
78660,2008,10,7,0,736430,0
78660,2008,11,3,0,320720,0
78660,2008,12,1,0,111990,0
78660,2009,1,2,0,155005,0
78660,2009,2,3,0,287115,0
78660,2009,3,9,0,927932,0
78660,2009,4,7,0,708680,0
78660,2009,5,5,0,484615,0
78660,2009,6,6,0,459690,0
78660,2009,7,4,1,387250,23970
78660,2009,8,3,0,302470,0
78660,2009,9,4,0,432460,0
78660,2009,10,1,1,76500,35000
78660,2009,11,3,0,315720,0
78660,2009,12,9,0,811680,0
78660,2010,1,11,0,1158690,0
78660,2010,2,10,0,829415,0
78660,2010,3,1,0,120740,0
78660,2010,4,3,0,330470,0
78660,2010,6,0,1,0,5500
78660,2010,10,1,0,104990,0
78660,2010,11,2,0,177980,0
78660,2010,12,2,0,215230,0
78660,2011,1,5,0,472950,0
78660,2011,2,1,0,104990,0
78660,2011,3,6,0,633440,0
78660,2011,4,4,0,404460,0
78660,2011,5,6,0,651690,0
78660,2011,6,2,0,201480,0
78660,2011,7,2,0,173980,0
78660,2011,8,1,0,112740,0
78660,2011,10,1,0,110490,0
78660,2011,12,1,0,107990,0
78660,2012,2,1,0,82990,0
78660,2012,3,2,0,205980,0
78660,2012,4,1,0,82990,0
78660,2012,8,1,0,123975,0
78660,2012,10,1,0,112590,0
78660,2012,12,0,1,0,6500
78660,2013,1,1,1,138215,3839
78660,2013,2,4,0,455290,0
78660,2013,3,2,0,211590,0
78660,2013,4,4,0,478130,0
78660,2013,5,5,0,583810,0
78660,2013,6,4,0,377615,0
78660,2013,7,5,0,590710,0
78660,2013,8,4,0,428755,0
78660,2013,9,5,1,619210,1202
78660,2013,10,4,1,464205,4445
78660,2013,11,1,0,138215,0
78660,2013,12,5,0,620475,0
78660,2014,1,7,0,980115,0
78660,2014,2,2,0,301560,0
78660,2014,3,3,0,395610,0
78660,2014,4,6,0,854865,0
78660,2014,5,5,0,583165,0
78660,2014,6,6,0,943635,0
78660,2014,7,1,0,162030,0
78660,2014,8,1,1,160875,31520
78660,2014,10,0,1,0,47889
78660,2015,2,0,1,0,8562
78660,2015,3,7,0,822780,0
78660,2015,4,7,0,882480,0
78660,2015,5,8,0,1121040,0
78660,2015,6,1,0,178140,0
78660,2015,9,0,2,0,7000
78660,2015,10,1,0,161940,0
78660,2015,12,1,0,98460,0
78660,2016,2,7,0,660325,0
78660,2016,3,10,1,1260985,18021
78660,2016,4,7,0,989159,0
78660,2016,5,15,0,1844560,0
78660,2016,6,29,0,3340685,0
78660,2016,7,23,0,3043315,0
78660,2016,8,15,0,2606925,0
78660,2016,9,38,0,4490960,0
78660,2016,10,37,0,5504550,0
78660,2016,11,29,0,4057387,0
78660,2016,12,18,0,2816870,0
78660,2017,1,25,0,3161850,0
78660,2017,2,7,0,1019442,0
78660,2017,3,41,1,5159630,2771
78660,2017,4,35,0,4715459,0
78660,2017,5,17,1,2329745,48100
78660,2017,6,40,0,5792841,0
78660,2017,7,51,0,7640716,0
78660,2017,8,28,0,4512024,0
78660,2017,9,22,0,3293905,0
78660,2017,10,25,0,3973237,0
78660,2017,11,2,0,343168,0
78660,2017,12,14,2,2447935,1501
78660,2018,1,12,0,2232758,0
78660,2018,2,25,1,4600832,200000
78660,2018,3,12,0,2312561,0
78660,2018,4,48,1,7214531,2500
78660,2018,5,34,0,5015195,0
78681,1996,1,7,0,619275,0
78681,1996,2,9,0,854728,0
78681,1996,3,6,0,447095,0
78681,1996,4,8,0,720725,0
78681,1996,5,16,0,1333835,0
78681,1996,6,12,2,1493750,3000
78681,1996,7,2,0,167995,0
78681,1996,8,8,0,691409,0
78681,1996,9,7,2,620368,99500
78681,1996,10,5,0,401664,0
78681,1996,11,8,1,658163,1500
78681,1996,12,0,1,0,800
78681,1997,1,10,0,853423,0
78681,1997,2,7,0,578955,0
78681,1997,3,1,0,81449,0
78681,1997,4,1,1,81472,1500
78681,1997,6,3,0,291125,0
78701,1996,1,0,1,0,5000
78701,1996,2,2,2,225281,64500
78701,1996,3,4,1,289034,0
78701,1996,7,3,71,216470,4000
78701,1996,10,0,2,0,23685
78701,1997,1,1,1,59290,0
78701,1997,4,0,1,0,8000
78701,1997,7,0,1,0,60339
78701,1998,4,0,1,0,7039
78701,1998,6,0,1,0,36000
78701,1998,9,0,1,0,4900
78701,1998,10,2,0,13500,0
78701,1998,11,0,2,0,13200
78701,1999,4,0,2,0,27500
78701,1999,6,0,1,0,1500
78701,1999,7,0,1,0,29000
78701,1999,10,2,1,1515995,67000
78701,1999,11,5,0,717373,0
78701,2000,3,0,1,0,85000
78701,2000,5,0,1,0,6612
78701,2001,2,0,1,0,71000
78701,2001,3,0,1,0,41000
78701,2002,3,0,1,0,1000
78701,2002,7,0,1,0,167000
78701,2002,11,1,0,90000,0
78701,2003,2,0,1,0,100000
78701,2003,6,1,0,210000,0
78701,2003,7,0,1,0,10000
78701,2003,8,0,1,0,42000
78701,2004,5,0,1,0,30000
78701,2004,7,0,1,0,122000
78701,2004,9,2,0,53000,0
78701,2004,10,0,1,0,44000
78701,2004,12,0,1,0,3100
78701,2005,1,0,1,0,0
78701,2005,2,0,1,0,0
78701,2005,3,0,1,0,5500
78701,2005,4,0,1,0,113100
78701,2005,8,1,2,96000,439000
78701,2005,9,0,1,0,800
78701,2006,2,0,1,0,0
78701,2006,5,0,1,0,0
78701,2006,6,0,2,0,83000
78701,2006,8,0,2,0,0
78701,2006,9,0,4,0,90000
78701,2006,10,0,1,0,80000
78701,2006,12,0,2,0,425000
78701,2007,1,0,2,0,108000
78701,2007,2,3,1,80000,15000
78701,2007,4,1,0,5000,0
78701,2007,8,0,1,0,117000
78701,2007,9,0,1,0,22000
78701,2007,10,1,0,158000,0
78701,2008,5,0,1,0,68000
78701,2008,6,0,1,0,5000
78701,2008,8,1,0,170000,0
78701,2008,10,0,1,0,1000
78701,2009,1,1,0,9250,0
78701,2009,2,0,1,0,12000
78701,2009,3,1,0,40000,0
78701,2009,4,0,1,0,158800
78701,2009,6,0,1,0,5000
78701,2009,11,0,3,0,68450
78701,2010,3,0,1,0,4200
78701,2010,4,0,2,0,0
78701,2010,6,1,0,25500,0
78701,2010,7,0,1,0,0
78701,2010,8,0,1,0,3250
78701,2010,10,0,2,0,154000
78701,2010,11,0,3,0,39300
78701,2010,12,0,1,0,5000
78701,2011,2,0,1,0,104000
78701,2011,3,0,3,0,16000
78701,2011,5,0,1,0,35000
78701,2011,8,0,1,0,0
78701,2011,9,0,1,0,6000
78701,2011,10,0,1,0,0
78701,2011,11,0,1,0,0
78701,2012,1,0,1,0,15100
78701,2012,2,0,1,0,10250
78701,2012,3,1,2,25000,42800
78701,2012,4,0,2,0,325000
78701,2012,6,0,1,0,11350
78701,2012,7,0,3,0,303600
78701,2012,8,0,1,0,3835
78701,2012,9,0,1,0,50000
78701,2012,10,0,1,0,2500
78701,2012,11,0,2,0,9000
78701,2012,12,0,1,0,1400
78701,2013,1,0,2,0,29635
78701,2013,5,0,1,0,0
78701,2013,7,0,1,0,7900
78701,2013,8,0,1,0,0
78701,2013,9,0,4,0,311100
78701,2013,10,0,3,0,17392
78701,2013,11,0,7,0,354000
78701,2014,1,0,1,0,10000
78701,2014,2,0,5,0,370000
78701,2014,7,0,1,0,19000
78701,2014,8,0,1,0,1
78701,2014,10,0,1,0,15000
78701,2014,11,1,0,200000,0
78701,2015,5,0,1,0,6750
78701,2015,6,0,3,0,91274
78701,2015,7,0,1,0,225000
78701,2015,10,0,1,0,12000
78701,2016,1,0,1,0,2250
78701,2016,6,0,1,0,10000
78701,2016,7,0,2,0,10000
78701,2016,10,0,1,0,3000
78701,2016,11,0,1,0,80000
78701,2016,12,0,2,0,30500
78701,2017,2,0,2,0,500000
78701,2017,8,0,1,0,31000
78701,2017,10,0,3,0,126700
78701,2017,11,0,1,0,750000
78701,2017,12,0,1,0,16280
78701,2018,1,0,1,0,10000
78701,2018,4,0,4,0,28000
78701,2018,5,4,2,665000,102500
78702,1996,1,1,9,50000,81800
78702,1996,2,6,7,887650,71000
78702,1996,3,0,8,0,49402
78702,1996,4,5,13,692350,106290
78702,1996,5,1,10,52700,134954
78702,1996,6,4,12,158550,49968
78702,1996,7,2,7,378400,39900
78702,1996,8,1,9,56400,58150
78702,1996,9,1,8,40000,72644
78702,1996,10,4,8,224600,29123
78702,1996,11,1,7,80000,24768
78702,1996,12,1,3,59600,55000
78702,1997,1,3,6,163800,109500
78702,1997,2,0,9,0,35000
78702,1997,3,2,8,112500,82500
78702,1997,4,2,5,117900,35038
78702,1997,5,12,11,573000,96708
78702,1997,6,0,17,0,172300
78702,1997,7,6,13,365114,105400
78702,1997,8,2,11,51600,63250
78702,1997,9,2,12,80000,90175
78702,1997,10,1,3,40000,23700
78702,1997,11,0,11,0,62489
78702,1997,12,0,5,0,37576
78702,1998,1,1,8,130000,17000
78702,1998,2,3,14,109200,21035
78702,1998,3,0,8,0,18888
78702,1998,4,1,6,40000,22800
78702,1998,5,0,11,0,50588
78702,1998,6,10,5,708866,42200
78702,1998,7,5,9,213756,53000
78702,1998,8,3,4,175000,27500
78702,1998,9,10,2,692000,9000
78702,1998,10,1,5,145000,52500
78702,1998,11,1,4,70000,21150
78702,1998,12,1,6,19250,15154
78702,1999,1,1,9,1,32144
78702,1999,2,3,7,120000,44110
78702,1999,3,1,4,1500,21274
78702,1999,4,1,7,51000,65905
78702,1999,5,2,5,178000,76599
78702,1999,6,0,10,0,73750
78702,1999,7,0,2,0,100000
78702,1999,8,5,3,335000,18000
78702,1999,9,0,4,0,2394
78702,1999,10,1,3,95000,10688
78702,1999,11,0,4,0,37000
78702,1999,12,1,2,40000,11044
78702,2000,1,0,4,0,26000
78702,2000,2,1,2,47500,43000
78702,2000,3,2,4,47000,8544
78702,2000,4,3,7,259000,91250
78702,2000,5,3,5,273880,33800
78702,2000,6,0,5,0,37744
78702,2000,7,3,7,125000,98344
78702,2000,8,0,12,0,317192
78702,2000,9,0,7,0,98371
78702,2000,10,11,6,830539,142700
78702,2000,11,2,1,53950,325
78702,2000,12,1,3,15000,37375
78702,2001,1,4,1,359619,20000
78702,2001,2,1,3,47375,44500
78702,2001,3,1,6,47365,49544
78702,2001,4,7,7,371835,69157
78702,2001,5,5,3,323000,4200
78702,2001,6,5,3,188000,47200
78702,2001,7,3,3,198000,36000
78702,2001,8,3,7,184400,166050
78702,2001,9,5,5,290000,33200
78702,2001,10,5,4,395285,115250
78702,2001,11,4,7,287000,49750
78702,2001,12,2,6,84000,127000
78702,2002,1,6,5,380500,13288
78702,2002,2,3,3,92375,31388
78702,2002,3,7,5,661729,15082
78702,2002,4,6,7,300375,143310
78702,2002,5,9,6,542644,15544
78702,2002,6,7,2,490000,25000
78702,2002,7,4,4,162375,36944
78702,2002,8,4,9,207750,126850
78702,2002,9,7,7,598750,37454
78702,2002,10,10,7,648028,55644
78702,2002,11,7,7,331750,45940
78702,2002,12,5,8,350000,112500
78702,2003,1,1,6,84500,155650
78702,2003,2,5,4,289375,23000
78702,2003,3,3,10,115000,185194
78702,2003,4,8,9,345375,141636
78702,2003,5,5,8,337763,92294
78702,2003,6,10,8,658134,97744
78702,2003,7,10,15,637125,79288
78702,2003,8,1,13,72486,135361
78702,2003,9,11,3,747600,12544
78702,2003,10,9,7,511500,134350
78702,2003,11,4,8,288000,102800
78702,2003,12,6,9,342500,83100
78702,2004,1,4,9,300000,161800
78702,2004,2,6,7,348141,112004
78702,2004,3,5,23,446000,157746
