Inventory Measure,Zip Code,Year,Month
140.0,78704,2012,8
135.0,78704,2012,9
160.0,78704,2012,10
145.0,78704,2012,11
110.0,78704,2012,12
102.0,78704,2013,1
74.0,78704,2013,2
72.0,78704,2013,3
81.0,78704,2013,4
98.0,78704,2013,5
108.0,78704,2013,6
106.0,78704,2013,7
114.0,78704,2013,8
126.0,78704,2013,9
114.0,78704,2013,10
112.0,78704,2013,11
102.0,78704,2013,12
81.0,78704,2014,1
72.0,78704,2014,2
85.0,78704,2014,3
88.0,78704,2014,4
73.0,78704,2014,5
84.0,78704,2014,6
127.0,78704,2014,7
130.0,78704,2014,8
120.0,78704,2014,9
103.0,78704,2014,10
103.0,78704,2014,11
105.0,78704,2014,12
102.0,78704,2015,1
104.0,78704,2015,2
113.0,78704,2015,3
133.0,78704,2015,4
144.0,78704,2015,5
166.0,78704,2015,6
182.0,78704,2015,7
192.0,78704,2015,8
190.0,78704,2015,9
203.0,78704,2015,10
186.0,78704,2015,11
149.0,78704,2015,12
137.0,78704,2016,1
152.0,78704,2016,2
180.0,78704,2016,3
203.0,78704,2016,4
209.0,78704,2016,5
221.0,78704,2016,6
220.0,78704,2016,7
232.0,78704,2016,8
244.0,78704,2016,9
236.0,78704,2016,10
211.0,78704,2016,11
188.0,78704,2016,12
181.0,78704,2017,1
180.0,78704,2017,2
193.0,78704,2017,3
216.0,78704,2017,4
239.0,78704,2017,5
256.0,78704,2017,6
252.0,78704,2017,7
270.0,78704,2017,8
260.0,78704,2017,9
268.0,78704,2017,10
226.0,78704,2017,11
184.0,78704,2017,12
155.0,78704,2018,1
143.0,78704,2018,2
162.0,78704,2018,3
174.0,78704,2018,4
159.0,78717,2010,1
164.0,78717,2010,2
172.0,78717,2010,3
167.0,78717,2010,4
152.0,78717,2010,5
179.0,78717,2010,6
176.0,78717,2010,7
162.0,78717,2010,8
157.0,78717,2010,9
172.0,78717,2010,10
172.0,78717,2010,11
156.0,78717,2010,12
172.0,78717,2011,1
184.0,78717,2011,2
180.0,78717,2011,3
194.0,78717,2011,4
188.0,78717,2011,5
189.0,78717,2011,6
177.0,78717,2011,7
159.0,78717,2011,8
140.0,78717,2011,9
123.0,78717,2011,10
122.0,78717,2011,11
101.0,78717,2011,12
91.0,78717,2012,1
97.0,78717,2012,2
101.0,78717,2012,3
98.0,78717,2012,4
102.0,78717,2012,5
108.0,78717,2012,6
106.0,78717,2012,7
93.0,78717,2012,8
82.0,78717,2012,9
73.0,78717,2012,10
73.0,78717,2012,11
60.0,78717,2012,12
55.0,78717,2013,1
64.0,78717,2013,2
68.0,78717,2013,3
56.0,78717,2013,4
63.0,78717,2013,5
60.0,78717,2013,6
65.0,78717,2013,7
68.0,78717,2013,8
65.0,78717,2013,9
58.0,78717,2013,10
50.0,78717,2013,11
40.0,78717,2013,12
38.0,78717,2014,1
38.0,78717,2014,2
36.0,78717,2014,3
42.0,78717,2014,4
51.0,78717,2014,5
62.0,78717,2014,6
78.0,78717,2014,7
88.0,78717,2014,8
87.0,78717,2014,9
66.0,78717,2014,10
67.0,78717,2014,11
49.0,78717,2014,12
39.0,78717,2015,1
40.0,78717,2015,2
56.0,78717,2015,3
55.0,78717,2015,4
63.0,78717,2015,5
92.0,78717,2015,6
109.0,78717,2015,7
103.0,78717,2015,8
88.0,78717,2015,9
75.0,78717,2015,10
76.0,78717,2015,11
64.0,78717,2015,12
54.0,78717,2016,1
64.0,78717,2016,2
64.0,78717,2016,3
60.0,78717,2016,4
73.0,78717,2016,5
81.0,78717,2016,6
78.0,78717,2016,7
86.0,78717,2016,8
68.0,78717,2016,9
59.0,78717,2016,10
64.0,78717,2016,11
58.0,78717,2016,12
54.0,78717,2017,1
57.0,78717,2017,2
76.0,78717,2017,3
82.0,78717,2017,4
81.0,78717,2017,5
96.0,78717,2017,6
125.0,78717,2017,7
110.0,78717,2017,8
98.0,78717,2017,9
112.0,78717,2017,10
91.0,78717,2017,11
80.0,78717,2017,12
77.0,78717,2018,1
72.0,78717,2018,2
77.0,78717,2018,3
66.0,78717,2018,4
36.0,78726,2010,1
48.0,78726,2010,2
56.0,78726,2010,3
66.0,78726,2010,4
66.0,78726,2010,5
63.0,78726,2010,6
62.0,78726,2010,7
52.0,78726,2010,8
38.0,78726,2010,9
37.0,78726,2010,10
34.0,78726,2010,11
32.0,78726,2010,12
38.0,78726,2011,1
31.0,78726,2011,2
54.0,78726,2011,3
62.0,78726,2011,4
71.0,78726,2011,5
72.0,78726,2011,6
68.0,78726,2011,7
41.0,78726,2011,8
40.0,78726,2011,9
39.0,78726,2011,10
34.0,78726,2011,11
26.0,78726,2011,12
26.0,78726,2012,1
28.0,78726,2012,2
26.0,78726,2012,3
23.0,78726,2012,4
22.0,78726,2012,5
29.0,78726,2012,6
33.0,78726,2012,7
41.0,78726,2012,8
46.0,78726,2012,9
40.0,78726,2012,10
35.0,78726,2012,11
36.0,78726,2012,12
26.0,78726,2013,1
27.0,78726,2013,2
28.0,78726,2013,3
30.0,78726,2013,4
29.0,78726,2013,5
29.0,78726,2013,6
28.0,78726,2013,7
28.0,78726,2013,8
28.0,78726,2013,9
27.0,78726,2013,10
30.0,78726,2013,11
25.0,78726,2013,12
20.0,78726,2014,1
22.0,78726,2014,2
29.0,78726,2014,3
32.0,78726,2014,4
24.0,78726,2014,5
28.0,78726,2014,6
29.0,78726,2014,7
34.0,78726,2014,8
31.0,78726,2014,9
34.0,78726,2014,10
34.0,78726,2014,11
24.0,78726,2014,12
19.0,78726,2015,1
22.0,78726,2015,2
27.0,78726,2015,3
32.0,78726,2015,4
34.0,78726,2015,5
37.0,78726,2015,6
42.0,78726,2015,7
39.0,78726,2015,8
38.0,78726,2015,9
40.0,78726,2015,10
40.0,78726,2015,11
37.0,78726,2015,12
32.0,78726,2016,1
36.0,78726,2016,2
31.0,78726,2016,3
26.0,78726,2016,4
36.0,78726,2016,5
39.0,78726,2016,6
36.0,78726,2016,7
30.0,78726,2016,8
28.0,78726,2016,9
23.0,78726,2016,10
23.0,78726,2016,11
17.0,78726,2016,12
19.0,78726,2017,1
24.0,78726,2017,2
26.0,78726,2017,3
43.0,78726,2017,4
53.0,78726,2017,5
54.0,78726,2017,6
46.0,78726,2017,7
46.0,78726,2017,8
41.0,78726,2017,9
44.0,78726,2017,10
41.0,78726,2017,11
32.0,78726,2017,12
28.0,78726,2018,1
31.0,78726,2018,2
34.0,78726,2018,3
44.0,78726,2018,4
144.0,78730,2010,1
142.0,78730,2010,2
156.0,78730,2010,3
159.0,78730,2010,4
188.0,78730,2010,5
191.0,78730,2010,6
202.0,78730,2010,7
170.0,78730,2010,8
152.0,78730,2010,9
144.0,78730,2010,10
145.0,78730,2010,11
143.0,78730,2010,12
124.0,78730,2011,1
132.0,78730,2011,2
147.0,78730,2011,3
154.0,78730,2011,4
148.0,78730,2011,5
139.0,78730,2011,6
141.0,78730,2011,7
144.0,78730,2011,8
140.0,78730,2011,9
128.0,78730,2011,10
129.0,78730,2011,11
112.0,78730,2011,12
101.0,78730,2012,1
107.0,78730,2012,2
125.0,78730,2012,3
116.0,78730,2012,4
123.0,78730,2012,5
122.0,78730,2012,6
124.0,78730,2012,7
111.0,78730,2012,8
96.0,78730,2012,9
85.0,78730,2012,10
72.0,78730,2012,11
68.0,78730,2012,12
67.0,78730,2013,1
65.0,78730,2013,2
62.0,78730,2013,3
66.0,78730,2013,4
74.0,78730,2013,5
66.0,78730,2013,6
63.0,78730,2013,7
62.0,78730,2013,8
66.0,78730,2013,9
62.0,78730,2013,10
50.0,78730,2013,11
40.0,78730,2013,12
33.0,78730,2014,1
45.0,78730,2014,2
54.0,78730,2014,3
56.0,78730,2014,4
54.0,78730,2014,5
59.0,78730,2014,6
63.0,78730,2014,7
60.0,78730,2014,8
50.0,78730,2014,9
47.0,78730,2014,10
49.0,78730,2014,11
41.0,78730,2014,12
38.0,78730,2015,1
33.0,78730,2015,2
40.0,78730,2015,3
55.0,78730,2015,4
56.0,78730,2015,5
58.0,78730,2015,6
64.0,78730,2015,7
60.0,78730,2015,8
46.0,78730,2015,9
46.0,78730,2015,10
42.0,78730,2015,11
31.0,78730,2015,12
30.0,78730,2016,1
34.0,78730,2016,2
45.0,78730,2016,3
50.0,78730,2016,4
48.0,78730,2016,5
52.0,78730,2016,6
62.0,78730,2016,7
57.0,78730,2016,8
56.0,78730,2016,9
56.0,78730,2016,10
45.0,78730,2016,11
36.0,78730,2016,12
31.0,78730,2017,1
36.0,78730,2017,2
52.0,78730,2017,3
59.0,78730,2017,4
70.0,78730,2017,5
72.0,78730,2017,6
63.0,78730,2017,7
58.0,78730,2017,8
58.0,78730,2017,9
54.0,78730,2017,10
45.0,78730,2017,11
34.0,78730,2017,12
34.0,78730,2018,1
38.0,78730,2018,2
44.0,78730,2018,3
50.0,78730,2018,4
150.0,78731,2010,1
155.0,78731,2010,2
173.0,78731,2010,3
196.0,78731,2010,4
210.0,78731,2010,5
204.0,78731,2010,6
220.0,78731,2010,7
213.0,78731,2010,8
213.0,78731,2010,9
207.0,78731,2010,10
194.0,78731,2010,11
176.0,78731,2010,12
164.0,78731,2011,1
162.0,78731,2011,2
183.0,78731,2011,3
196.0,78731,2011,4
208.0,78731,2011,5
217.0,78731,2011,6
216.0,78731,2011,7
208.0,78731,2011,8
178.0,78731,2011,9
173.0,78731,2011,10
152.0,78731,2011,11
138.0,78731,2011,12
136.0,78731,2012,1
138.0,78731,2012,2
141.0,78731,2012,3
117.0,78731,2012,4
119.0,78731,2012,5
114.0,78731,2012,6
118.0,78731,2012,7
114.0,78731,2012,8
99.0,78731,2012,9
80.0,78731,2012,10
77.0,78731,2012,11
66.0,78731,2012,12
55.0,78731,2013,1
57.0,78731,2013,2
56.0,78731,2013,3
56.0,78731,2013,4
67.0,78731,2013,5
84.0,78731,2013,6
74.0,78731,2013,7
76.0,78731,2013,8
70.0,78731,2013,9
68.0,78731,2013,10
62.0,78731,2013,11
52.0,78731,2013,12
40.0,78731,2014,1
38.0,78731,2014,2
40.0,78731,2014,3
48.0,78731,2014,4
42.0,78731,2014,5
51.0,78731,2014,6
68.0,78731,2014,7
61.0,78731,2014,8
57.0,78731,2014,9
50.0,78731,2014,10
59.0,78731,2014,11
48.0,78731,2014,12
35.0,78731,2015,1
36.0,78731,2015,2
48.0,78731,2015,3
57.0,78731,2015,4
60.0,78731,2015,5
68.0,78731,2015,6
78.0,78731,2015,7
68.0,78731,2015,8
69.0,78731,2015,9
66.0,78731,2015,10
61.0,78731,2015,11
56.0,78731,2015,12
48.0,78731,2016,1
54.0,78731,2016,2
58.0,78731,2016,3
76.0,78731,2016,4
74.0,78731,2016,5
98.0,78731,2016,6
102.0,78731,2016,7
102.0,78731,2016,8
108.0,78731,2016,9
112.0,78731,2016,10
93.0,78731,2016,11
76.0,78731,2016,12
78.0,78731,2017,1
79.0,78731,2017,2
86.0,78731,2017,3
92.0,78731,2017,4
106.0,78731,2017,5
114.0,78731,2017,6
105.0,78731,2017,7
105.0,78731,2017,8
94.0,78731,2017,9
100.0,78731,2017,10
83.0,78731,2017,11
64.0,78731,2017,12
57.0,78731,2018,1
60.0,78731,2018,2
73.0,78731,2018,3
80.0,78731,2018,4
256.0,78732,2010,1
238.0,78732,2010,2
244.0,78732,2010,3
262.0,78732,2010,4
275.0,78732,2010,5
272.0,78732,2010,6
256.0,78732,2010,7
244.0,78732,2010,8
275.0,78732,2010,9
250.0,78732,2010,10
252.0,78732,2010,11
252.0,78732,2010,12
251.0,78732,2011,1
252.0,78732,2011,2
261.0,78732,2011,3
296.0,78732,2011,4
300.0,78732,2011,5
312.0,78732,2011,6
335.0,78732,2011,7
248.0,78732,2011,8
228.0,78732,2011,9
237.0,78732,2011,10
219.0,78732,2011,11
182.0,78732,2011,12
196.0,78732,2012,1
186.0,78732,2012,2
211.0,78732,2012,3
188.0,78732,2012,4
188.0,78732,2012,5
170.0,78732,2012,6
173.0,78732,2012,7
171.0,78732,2012,8
154.0,78732,2012,9
140.0,78732,2012,10
122.0,78732,2012,11
113.0,78732,2012,12
99.0,78732,2013,1
97.0,78732,2013,2
100.0,78732,2013,3
90.0,78732,2013,4
104.0,78732,2013,5
110.0,78732,2013,6
109.0,78732,2013,7
98.0,78732,2013,8
91.0,78732,2013,9
87.0,78732,2013,10
76.0,78732,2013,11
72.0,78732,2013,12
65.0,78732,2014,1
75.0,78732,2014,2
98.0,78732,2014,3
121.0,78732,2014,4
124.0,78732,2014,5
130.0,78732,2014,6
129.0,78732,2014,7
108.0,78732,2014,8
98.0,78732,2014,9
88.0,78732,2014,10
88.0,78732,2014,11
83.0,78732,2014,12
74.0,78732,2015,1
81.0,78732,2015,2
111.0,78732,2015,3
135.0,78732,2015,4
156.0,78732,2015,5
162.0,78732,2015,6
153.0,78732,2015,7
147.0,78732,2015,8
120.0,78732,2015,9
123.0,78732,2015,10
108.0,78732,2015,11
88.0,78732,2015,12
76.0,78732,2016,1
79.0,78732,2016,2
89.0,78732,2016,3
108.0,78732,2016,4
110.0,78732,2016,5
110.0,78732,2016,6
110.0,78732,2016,7
115.0,78732,2016,8
114.0,78732,2016,9
112.0,78732,2016,10
97.0,78732,2016,11
81.0,78732,2016,12
72.0,78732,2017,1
84.0,78732,2017,2
106.0,78732,2017,3
136.0,78732,2017,4
141.0,78732,2017,5
