Median Rental Price,Zip Code,Year,Month
1800.0,78704,2017,7
1797.5,78704,2017,8
1748.5,78704,2017,9
1700.0,78704,2017,10
1625.0,78704,2017,11
1626.0,78704,2017,12
1670.0,78704,2018,1
1747.0,78704,2018,2
1736.0,78704,2018,3
1825.0,78704,2018,4
1995.0,78705,2015,10
1997.5,78705,2015,11
1900.0,78705,2015,12
1900.0,78705,2016,1
1900.0,78705,2016,2
1750.0,78705,2016,3
1612.5,78705,2016,4
1595.0,78705,2016,5
1600.0,78705,2016,6
1472.5,78705,2016,7
1525.0,78705,2016,8
1597.5,78705,2016,9
1550.0,78705,2016,10
1625.0,78705,2016,11
1865.0,78705,2016,12
1695.0,78705,2017,1
1700.0,78705,2017,2
1700.0,78705,2017,3
1675.0,78705,2017,4
1600.0,78705,2017,5
1585.0,78705,2017,6
1495.0,78705,2017,7
1400.0,78705,2017,8
1550.0,78705,2017,9
1800.0,78705,2017,10
1795.0,78705,2017,11
1750.0,78705,2017,12
1750.0,78705,2018,1
1797.5,78705,2018,2
1750.0,78705,2018,3
1699.0,78705,2018,4
1600.0,78717,2017,2
1700.0,78717,2017,3
1700.0,78717,2017,4
1750.0,78717,2017,5
1800.0,78717,2017,6
1795.0,78717,2017,7
1750.0,78717,2017,8
1700.0,78717,2017,9
1695.0,78717,2017,10
1625.0,78717,2017,11
1695.0,78717,2017,12
1700.0,78717,2018,1
1695.0,78717,2018,2
1700.0,78717,2018,3
1785.0,78717,2018,4
1275.5,78723,2012,4
1288.0,78723,2012,5
1350.0,78723,2012,6
1325.0,78723,2012,7
1300.0,78723,2012,8
1250.0,78723,2012,9
1250.0,78723,2012,10
1333.0,78723,2012,11
1250.0,78723,2012,12
1327.5,78723,2013,1
1250.0,78723,2013,2
1200.0,78723,2013,3
1199.0,78723,2013,4
1309.5,78723,2013,5
1463.0,78723,2013,6
1532.0,78723,2013,7
1397.5,78723,2013,8
1375.0,78723,2013,9
1475.0,78723,2013,10
1463.0,78723,2013,11
1469.0,78723,2013,12
1475.0,78723,2014,1
1529.0,78723,2014,2
1536.0,78723,2014,3
1621.0,78723,2014,4
1500.0,78723,2014,5
1497.0,78723,2014,6
1475.0,78723,2014,7
1536.0,78723,2014,8
1529.0,78723,2014,9
1514.5,78723,2014,10
1543.0,78723,2014,11
1487.0,78723,2014,12
1514.5,78723,2015,1
1514.5,78723,2015,2
1499.0,78723,2015,3
1600.0,78723,2015,4
1621.0,78723,2015,5
1800.0,78723,2015,6
1700.0,78723,2015,7
1650.0,78723,2015,8
1601.5,78723,2015,9
1601.5,78723,2015,10
1572.5,78723,2015,11
1600.0,78723,2015,12
1672.5,78723,2016,1
1674.5,78723,2016,2
1595.0,78723,2016,3
1543.0,78723,2016,4
1625.0,78723,2016,5
1747.5,78723,2016,6
1747.5,78723,2016,7
1608.0,78723,2016,8
1536.0,78723,2016,9
1529.0,78723,2016,10
1614.5,78723,2016,11
1536.0,78723,2016,12
1700.0,78723,2017,1
1735.0,78723,2017,2
1635.5,78723,2017,3
1700.0,78723,2017,4
