Median Listing Price,Zip Code,Year,Month
875000.0,78703,2016,11
823569.0,78703,2016,12
825000.0,78703,2017,1
895000.0,78703,2017,2
919900.0,78703,2017,3
999000.0,78703,2017,4
949000.0,78703,2017,5
995000.0,78703,2017,6
949900.0,78703,2017,7
895000.0,78703,2017,8
920000.0,78703,2017,9
915000.0,78703,2017,10
899000.0,78703,2017,11
894450.0,78703,2017,12
892450.0,78703,2018,1
899000.0,78703,2018,2
899990.0,78703,2018,3
925000.0,78703,2018,4
300000.0,78704,2010,1
314900.0,78704,2010,2
319950.0,78704,2010,3
326000.0,78704,2010,4
349950.0,78704,2010,5
349000.0,78704,2010,6
342225.0,78704,2010,7
349900.0,78704,2010,8
359000.0,78704,2010,9
329000.0,78704,2010,10
324950.0,78704,2010,11
320000.0,78704,2010,12
338250.0,78704,2011,1
325000.0,78704,2011,2
325000.0,78704,2011,3
339000.0,78704,2011,4
320000.0,78704,2011,5
326500.0,78704,2011,6
320000.0,78704,2011,7
322500.0,78704,2011,8
345890.0,78704,2011,9
363250.0,78704,2011,10
349800.0,78704,2011,11
325990.0,78704,2011,12
314900.0,78704,2012,1
339000.0,78704,2012,2
378000.0,78704,2012,3
378950.0,78704,2012,4
399000.0,78704,2012,5
395000.0,78704,2012,6
389000.0,78704,2012,7
364750.0,78704,2012,8
349750.0,78704,2012,9
348200.0,78704,2012,10
379000.0,78704,2012,11
350000.0,78704,2012,12
354500.0,78704,2013,1
350000.0,78704,2013,2
370000.0,78704,2013,3
399000.0,78704,2013,4
375000.0,78704,2013,5
375250.0,78704,2013,6
379000.0,78704,2013,7
380000.0,78704,2013,8
399000.0,78704,2013,9
409500.0,78704,2013,10
425000.0,78704,2013,11
429450.0,78704,2013,12
419500.0,78704,2014,1
415000.0,78704,2014,2
419450.0,78704,2014,3
427450.0,78704,2014,4
449900.0,78704,2014,5
439450.0,78704,2014,6
439900.0,78704,2014,7
449537.5,78704,2014,8
449900.0,78704,2014,9
449000.0,78704,2014,10
479000.0,78704,2014,11
495000.0,78704,2014,12
487000.0,78704,2015,1
489000.0,78704,2015,2
527000.0,78704,2015,3
549495.0,78704,2015,4
550000.0,78704,2015,5
565000.0,78704,2015,6
527000.0,78704,2015,7
525000.0,78704,2015,8
550000.0,78704,2015,9
554500.0,78704,2015,10
539900.0,78704,2015,11
549900.0,78704,2015,12
549000.0,78704,2016,1
575000.0,78704,2016,2
565000.0,78704,2016,3
565000.0,78704,2016,4
550000.0,78704,2016,5
563500.0,78704,2016,6
575000.0,78704,2016,7
549900.0,78704,2016,8
559000.0,78704,2016,9
549900.0,78704,2016,10
559000.0,78704,2016,11
575000.0,78704,2016,12
562000.0,78704,2017,1
549900.0,78704,2017,2
560000.0,78704,2017,3
569900.0,78704,2017,4
565000.0,78704,2017,5
550000.0,78704,2017,6
550000.0,78704,2017,7
565000.0,78704,2017,8
575000.0,78704,2017,9
584950.0,78704,2017,10
