Home Value Index,Zip Code,Year,Month
293400.0,78701,2014,1
292500.0,78701,2014,2
292300.0,78701,2014,3
298500.0,78701,2014,4
306500.0,78701,2014,5
311100.0,78701,2014,6
313700.0,78701,2014,7
316100.0,78701,2014,8
323800.0,78701,2014,9
336400.0,78701,2014,10
343200.0,78701,2014,11
342500.0,78701,2014,12
341900.0,78701,2015,1
344600.0,78701,2015,2
349900.0,78701,2015,3
356100.0,78701,2015,4
362700.0,78701,2015,5
367200.0,78701,2015,6
369900.0,78701,2015,7
371600.0,78701,2015,8
370700.0,78701,2015,9
367300.0,78701,2015,10
367200.0,78701,2015,11
370300.0,78701,2015,12
372800.0,78701,2016,1
375900.0,78701,2016,2
375300.0,78701,2016,3
369600.0,78701,2016,4
366400.0,78701,2016,5
370000.0,78701,2016,6
373400.0,78701,2016,7
373300.0,78701,2016,8
370000.0,78701,2016,9
366900.0,78701,2016,10
365800.0,78701,2016,11
366600.0,78701,2016,12
369000.0,78701,2017,1
372000.0,78701,2017,2
374900.0,78701,2017,3
377400.0,78701,2017,4
378900.0,78701,2017,5
378400.0,78701,2017,6
381000.0,78701,2017,7
388200.0,78701,2017,8
396000.0,78701,2017,9
400500.0,78701,2017,10
404400.0,78701,2017,11
407200.0,78701,2017,12
408700.0,78701,2018,1
411800.0,78701,2018,2
417300.0,78701,2018,3
420500.0,78701,2018,4
57800.0,78702,1996,4
58900.0,78702,1996,5
60300.0,78702,1996,6
61900.0,78702,1996,7
63600.0,78702,1996,8
65400.0,78702,1996,9
67400.0,78702,1996,10
69500.0,78702,1996,11
71700.0,78702,1996,12
73900.0,78702,1997,1
76100.0,78702,1997,2
78300.0,78702,1997,3
80700.0,78702,1997,4
83100.0,78702,1997,5
85500.0,78702,1997,6
88100.0,78702,1997,7
90900.0,78702,1997,8
94000.0,78702,1997,9
97500.0,78702,1997,10
101600.0,78702,1997,11
106100.0,78702,1997,12
110900.0,78702,1998,1
115600.0,78702,1998,2
120000.0,78702,1998,3
124100.0,78702,1998,4
127600.0,78702,1998,5
130300.0,78702,1998,6
132200.0,78702,1998,7
133100.0,78702,1998,8
133300.0,78702,1998,9
133000.0,78702,1998,10
132400.0,78702,1998,11
131700.0,78702,1998,12
131100.0,78702,1999,1
130900.0,78702,1999,2
131000.0,78702,1999,3
131700.0,78702,1999,4
132900.0,78702,1999,5
134800.0,78702,1999,6
137300.0,78702,1999,7
140500.0,78702,1999,8
144500.0,78702,1999,9
149200.0,78702,1999,10
154600.0,78702,1999,11
160800.0,78702,1999,12
167300.0,78702,2000,1
173700.0,78702,2000,2
179900.0,78702,2000,3
185900.0,78702,2000,4
191300.0,78702,2000,5
196000.0,78702,2000,6
200100.0,78702,2000,7
203500.0,78702,2000,8
206300.0,78702,2000,9
208900.0,78702,2000,10
211300.0,78702,2000,11
213500.0,78702,2000,12
215500.0,78702,2001,1
217200.0,78702,2001,2
218700.0,78702,2001,3
219800.0,78702,2001,4
220400.0,78702,2001,5
220200.0,78702,2001,6
219200.0,78702,2001,7
217400.0,78702,2001,8
215200.0,78702,2001,9
212600.0,78702,2001,10
210000.0,78702,2001,11
207300.0,78702,2001,12
204600.0,78702,2002,1
201900.0,78702,2002,2
199400.0,78702,2002,3
197000.0,78702,2002,4
194700.0,78702,2002,5
192400.0,78702,2002,6
190300.0,78702,2002,7
188400.0,78702,2002,8
186900.0,78702,2002,9
186000.0,78702,2002,10
185600.0,78702,2002,11
186200.0,78702,2002,12
188300.0,78702,2003,1
191300.0,78702,2003,2
194000.0,78702,2003,3
196500.0,78702,2003,4
198900.0,78702,2003,5
201700.0,78702,2003,6
204900.0,78702,2003,7
208200.0,78702,2003,8
210800.0,78702,2003,9
212100.0,78702,2003,10
211800.0,78702,2003,11
209900.0,78702,2003,12
207100.0,78702,2004,1
204000.0,78702,2004,2
200800.0,78702,2004,3
198000.0,78702,2004,4
196000.0,78702,2004,5
195000.0,78702,2004,6
194800.0,78702,2004,7
195200.0,78702,2004,8
196400.0,78702,2004,9
198000.0,78702,2004,10
199800.0,78702,2004,11
201700.0,78702,2004,12
203400.0,78702,2005,1
205000.0,78702,2005,2
206500.0,78702,2005,3
207700.0,78702,2005,4
208400.0,78702,2005,5
208400.0,78702,2005,6
207800.0,78702,2005,7
206700.0,78702,2005,8
205600.0,78702,2005,9
204900.0,78702,2005,10
204600.0,78702,2005,11
204600.0,78702,2005,12
204600.0,78702,2006,1
204600.0,78702,2006,2
204600.0,78702,2006,3
205000.0,78702,2006,4
206000.0,78702,2006,5
207600.0,78702,2006,6
209800.0,78702,2006,7
212200.0,78702,2006,8
214300.0,78702,2006,9
216100.0,78702,2006,10
217700.0,78702,2006,11
219400.0,78702,2006,12
221300.0,78702,2007,1
223000.0,78702,2007,2
224500.0,78702,2007,3
225700.0,78702,2007,4
226500.0,78702,2007,5
227200.0,78702,2007,6
228000.0,78702,2007,7
228800.0,78702,2007,8
229600.0,78702,2007,9
230100.0,78702,2007,10
230400.0,78702,2007,11
230500.0,78702,2007,12
230600.0,78702,2008,1
230500.0,78702,2008,2
230200.0,78702,2008,3
229900.0,78702,2008,4
229800.0,78702,2008,5
230000.0,78702,2008,6
230200.0,78702,2008,7
229900.0,78702,2008,8
229300.0,78702,2008,9
228900.0,78702,2008,10
228600.0,78702,2008,11
228600.0,78702,2008,12
228900.0,78702,2009,1
229200.0,78702,2009,2
229200.0,78702,2009,3
228800.0,78702,2009,4
228100.0,78702,2009,5
227600.0,78702,2009,6
227700.0,78702,2009,7
228000.0,78702,2009,8
228300.0,78702,2009,9
228500.0,78702,2009,10
228700.0,78702,2009,11
229100.0,78702,2009,12
227800.0,78702,2010,1
227600.0,78702,2010,2
227800.0,78702,2010,3
226800.0,78702,2010,4
224600.0,78702,2010,5
222500.0,78702,2010,6
218700.0,78702,2010,7
215100.0,78702,2010,8
212900.0,78702,2010,9
212000.0,78702,2010,10
211800.0,78702,2010,11
211300.0,78702,2010,12
211000.0,78702,2011,1
210300.0,78702,2011,2
211000.0,78702,2011,3
214800.0,78702,2011,4
219900.0,78702,2011,5
223000.0,78702,2011,6
224900.0,78702,2011,7
226600.0,78702,2011,8
228000.0,78702,2011,9
228700.0,78702,2011,10
228900.0,78702,2011,11
229000.0,78702,2011,12
229800.0,78702,2012,1
230900.0,78702,2012,2
231400.0,78702,2012,3
231200.0,78702,2012,4
230100.0,78702,2012,5
228500.0,78702,2012,6
227700.0,78702,2012,7
227700.0,78702,2012,8
228200.0,78702,2012,9
228800.0,78702,2012,10
229900.0,78702,2012,11
231800.0,78702,2012,12
234200.0,78702,2013,1
236400.0,78702,2013,2
237900.0,78702,2013,3
238200.0,78702,2013,4
238800.0,78702,2013,5
242100.0,78702,2013,6
247300.0,78702,2013,7
251700.0,78702,2013,8
254700.0,78702,2013,9
257300.0,78702,2013,10
259900.0,78702,2013,11
262400.0,78702,2013,12
265000.0,78702,2014,1
266900.0,78702,2014,2
268100.0,78702,2014,3
270100.0,78702,2014,4
273500.0,78702,2014,5
277600.0,78702,2014,6
282900.0,78702,2014,7
288100.0,78702,2014,8
291800.0,78702,2014,9
293600.0,78702,2014,10
294900.0,78702,2014,11
296500.0,78702,2014,12
299000.0,78702,2015,1
301200.0,78702,2015,2
303100.0,78702,2015,3
306500.0,78702,2015,4
311900.0,78702,2015,5
316700.0,78702,2015,6
319200.0,78702,2015,7
322300.0,78702,2015,8
328100.0,78702,2015,9
333900.0,78702,2015,10
336900.0,78702,2015,11
337000.0,78702,2015,12
336600.0,78702,2016,1
339000.0,78702,2016,2
344700.0,78702,2016,3
351200.0,78702,2016,4
356400.0,78702,2016,5
359700.0,78702,2016,6
362000.0,78702,2016,7
363900.0,78702,2016,8
365100.0,78702,2016,9
366500.0,78702,2016,10
370100.0,78702,2016,11
375200.0,78702,2016,12
379500.0,78702,2017,1
382500.0,78702,2017,2
384400.0,78702,2017,3
384300.0,78702,2017,4
383400.0,78702,2017,5
384400.0,78702,2017,6
386200.0,78702,2017,7
387800.0,78702,2017,8
389800.0,78702,2017,9
392800.0,78702,2017,10
395900.0,78702,2017,11
399900.0,78702,2017,12
404700.0,78702,2018,1
408800.0,78702,2018,2
412300.0,78702,2018,3
414500.0,78702,2018,4
307800.0,78703,1996,4
305000.0,78703,1996,5
303000.0,78703,1996,6
301600.0,78703,1996,7
300700.0,78703,1996,8
300400.0,78703,1996,9
300400.0,78703,1996,10
301000.0,78703,1996,11
301600.0,78703,1996,12
302700.0,78703,1997,1
304800.0,78703,1997,2
307900.0,78703,1997,3
311400.0,78703,1997,4
315300.0,78703,1997,5
319600.0,78703,1997,6
324400.0,78703,1997,7
329700.0,78703,1997,8
335400.0,78703,1997,9
341300.0,78703,1997,10
347000.0,78703,1997,11
352200.0,78703,1997,12
356900.0,78703,1998,1
361800.0,78703,1998,2
367000.0,78703,1998,3
371500.0,78703,1998,4
375100.0,78703,1998,5
377700.0,78703,1998,6
379000.0,78703,1998,7
379300.0,78703,1998,8
378900.0,78703,1998,9
377900.0,78703,1998,10
376800.0,78703,1998,11
375100.0,78703,1998,12
373600.0,78703,1999,1
373400.0,78703,1999,2
374600.0,78703,1999,3
376700.0,78703,1999,4
379900.0,78703,1999,5
384000.0,78703,1999,6
389100.0,78703,1999,7
395100.0,78703,1999,8
401600.0,78703,1999,9
408500.0,78703,1999,10
415500.0,78703,1999,11
422100.0,78703,1999,12
428400.0,78703,2000,1
435000.0,78703,2000,2
442000.0,78703,2000,3
448800.0,78703,2000,4
455100.0,78703,2000,5
460900.0,78703,2000,6
466100.0,78703,2000,7
470600.0,78703,2000,8
474500.0,78703,2000,9
478000.0,78703,2000,10
481100.0,78703,2000,11
483700.0,78703,2000,12
485900.0,78703,2001,1
488400.0,78703,2001,2
491500.0,78703,2001,3
494600.0,78703,2001,4
497200.0,78703,2001,5
499100.0,78703,2001,6
499800.0,78703,2001,7
499400.0,78703,2001,8
497800.0,78703,2001,9
495400.0,78703,2001,10
492000.0,78703,2001,11
487800.0,78703,2001,12
483100.0,78703,2002,1
478800.0,78703,2002,2
474900.0,78703,2002,3
470900.0,78703,2002,4
466700.0,78703,2002,5
462200.0,78703,2002,6
456900.0,78703,2002,7
451200.0,78703,2002,8
445100.0,78703,2002,9
438800.0,78703,2002,10
432200.0,78703,2002,11
425400.0,78703,2002,12
418000.0,78703,2003,1
409400.0,78703,2003,2
399900.0,78703,2003,3
390500.0,78703,2003,4
382900.0,78703,2003,5
377700.0,78703,2003,6
375200.0,78703,2003,7
375100.0,78703,2003,8
377400.0,78703,2003,9
382300.0,78703,2003,10
390100.0,78703,2003,11
401100.0,78703,2003,12
413900.0,78703,2004,1
426800.0,78703,2004,2
438200.0,78703,2004,3
447300.0,78703,2004,4
453600.0,78703,2004,5
457500.0,78703,2004,6
460000.0,78703,2004,7
461500.0,78703,2004,8
462200.0,78703,2004,9
462100.0,78703,2004,10
461200.0,78703,2004,11
459700.0,78703,2004,12
458400.0,78703,2005,1
458100.0,78703,2005,2
459200.0,78703,2005,3
461200.0,78703,2005,4
463700.0,78703,2005,5
466100.0,78703,2005,6
468200.0,78703,2005,7
470000.0,78703,2005,8
471600.0,78703,2005,9
472900.0,78703,2005,10
473900.0,78703,2005,11
474600.0,78703,2005,12
475200.0,78703,2006,1
476100.0,78703,2006,2
477900.0,78703,2006,3
481100.0,78703,2006,4
486100.0,78703,2006,5
492300.0,78703,2006,6
498900.0,78703,2006,7
505000.0,78703,2006,8
510000.0,78703,2006,9
513900.0,78703,2006,10
516900.0,78703,2006,11
518900.0,78703,2006,12
520200.0,78703,2007,1
521300.0,78703,2007,2
522200.0,78703,2007,3
523000.0,78703,2007,4
523600.0,78703,2007,5
523800.0,78703,2007,6
523500.0,78703,2007,7
523300.0,78703,2007,8
523400.0,78703,2007,9
523600.0,78703,2007,10
523600.0,78703,2007,11
523400.0,78703,2007,12
523100.0,78703,2008,1
522600.0,78703,2008,2
521900.0,78703,2008,3
520700.0,78703,2008,4
519000.0,78703,2008,5
516700.0,78703,2008,6
513300.0,78703,2008,7
509300.0,78703,2008,8
505100.0,78703,2008,9
501100.0,78703,2008,10
497100.0,78703,2008,11
493200.0,78703,2008,12
489600.0,78703,2009,1
486500.0,78703,2009,2
483200.0,78703,2009,3
479600.0,78703,2009,4
475400.0,78703,2009,5
471700.0,78703,2009,6
469400.0,78703,2009,7
468500.0,78703,2009,8
468500.0,78703,2009,9
468900.0,78703,2009,10
469200.0,78703,2009,11
469500.0,78703,2009,12
470000.0,78703,2010,1
470900.0,78703,2010,2
471400.0,78703,2010,3
471000.0,78703,2010,4
470200.0,78703,2010,5
469600.0,78703,2010,6
468900.0,78703,2010,7
468000.0,78703,2010,8
467400.0,78703,2010,9
467400.0,78703,2010,10
467700.0,78703,2010,11
468100.0,78703,2010,12
467500.0,78703,2011,1
465900.0,78703,2011,2
465400.0,78703,2011,3
465900.0,78703,2011,4
466100.0,78703,2011,5
465600.0,78703,2011,6
465000.0,78703,2011,7
464500.0,78703,2011,8
464800.0,78703,2011,9
465400.0,78703,2011,10
466100.0,78703,2011,11
466700.0,78703,2011,12
467700.0,78703,2012,1
468700.0,78703,2012,2
469800.0,78703,2012,3
471000.0,78703,2012,4
471800.0,78703,2012,5
471600.0,78703,2012,6
471900.0,78703,2012,7
472300.0,78703,2012,8
472100.0,78703,2012,9
471800.0,78703,2012,10
472300.0,78703,2012,11
473500.0,78703,2012,12
475800.0,78703,2013,1
478100.0,78703,2013,2
479300.0,78703,2013,3
481300.0,78703,2013,4
486800.0,78703,2013,5
494800.0,78703,2013,6
503600.0,78703,2013,7
511800.0,78703,2013,8
518700.0,78703,2013,9
524600.0,78703,2013,10
531500.0,78703,2013,11
537600.0,78703,2013,12
541600.0,78703,2014,1
545200.0,78703,2014,2
549400.0,78703,2014,3
551900.0,78703,2014,4
553000.0,78703,2014,5
554000.0,78703,2014,6
557100.0,78703,2014,7
563700.0,78703,2014,8
570400.0,78703,2014,9
574800.0,78703,2014,10
577700.0,78703,2014,11
581200.0,78703,2014,12
586700.0,78703,2015,1
594900.0,78703,2015,2
602200.0,78703,2015,3
613700.0,78703,2015,4
629000.0,78703,2015,5
643900.0,78703,2015,6
652600.0,78703,2015,7
660500.0,78703,2015,8
668400.0,78703,2015,9
674900.0,78703,2015,10
680000.0,78703,2015,11
687500.0,78703,2015,12
694800.0,78703,2016,1
700100.0,78703,2016,2
706200.0,78703,2016,3
712000.0,78703,2016,4
715700.0,78703,2016,5
719600.0,78703,2016,6
725500.0,78703,2016,7
732000.0,78703,2016,8
740100.0,78703,2016,9
745700.0,78703,2016,10
744700.0,78703,2016,11
741800.0,78703,2016,12
743100.0,78703,2017,1
748400.0,78703,2017,2
753900.0,78703,2017,3
758000.0,78703,2017,4
764500.0,78703,2017,5
774400.0,78703,2017,6
780500.0,78703,2017,7
776700.0,78703,2017,8
771000.0,78703,2017,9
773300.0,78703,2017,10
783100.0,78703,2017,11
790000.0,78703,2017,12
791300.0,78703,2018,1
791900.0,78703,2018,2
796300.0,78703,2018,3
798800.0,78703,2018,4
213100.0,78704,1996,4
212900.0,78704,1996,5
212800.0,78704,1996,6
212700.0,78704,1996,7
212600.0,78704,1996,8
212500.0,78704,1996,9
212800.0,78704,1996,10
213300.0,78704,1996,11
214200.0,78704,1996,12
215500.0,78704,1997,1
217300.0,78704,1997,2
219700.0,78704,1997,3
222500.0,78704,1997,4
225800.0,78704,1997,5
229300.0,78704,1997,6
233100.0,78704,1997,7
236800.0,78704,1997,8
240500.0,78704,1997,9
244000.0,78704,1997,10
247100.0,78704,1997,11
249600.0,78704,1997,12
251400.0,78704,1998,1
252400.0,78704,1998,2
252600.0,78704,1998,3
252100.0,78704,1998,4
250900.0,78704,1998,5
249000.0,78704,1998,6
246400.0,78704,1998,7
243500.0,78704,1998,8
240500.0,78704,1998,9
237300.0,78704,1998,10
234300.0,78704,1998,11
231300.0,78704,1998,12
228600.0,78704,1999,1
226300.0,78704,1999,2
224600.0,78704,1999,3
223400.0,78704,1999,4
223200.0,78704,1999,5
223900.0,78704,1999,6
225600.0,78704,1999,7
228400.0,78704,1999,8
232200.0,78704,1999,9
237000.0,78704,1999,10
242500.0,78704,1999,11
248600.0,78704,1999,12
254700.0,78704,2000,1
260500.0,78704,2000,2
