Sales,Zip Code,Year,Month
18.0,78703,2011,9
12.0,78703,2011,10
18.0,78703,2011,11
22.0,78703,2011,12
11.0,78703,2012,1
18.0,78703,2012,2
27.0,78703,2012,3
27.0,78703,2012,4
41.0,78703,2012,5
43.0,78703,2012,6
37.0,78703,2012,7
34.0,78703,2012,8
21.0,78703,2012,9
12.0,78703,2012,10
17.0,78703,2012,11
21.0,78703,2012,12
9.0,78703,2013,1
26.0,78703,2013,2
12.0,78703,2013,3
23.0,78703,2013,4
21.0,78703,2013,5
23.0,78703,2013,6
17.0,78703,2013,7
15.0,78703,2013,8
9.0,78703,2013,9
11.0,78703,2013,10
12.0,78703,2013,11
14.0,78703,2013,12
5.0,78703,2014,1
8.0,78703,2014,2
12.0,78703,2014,3
7.0,78703,2014,4
6.0,78703,2014,5
11.0,78703,2014,6
20.0,78703,2014,7
5.0,78703,2014,8
10.0,78703,2014,9
7.0,78703,2014,10
9.0,78703,2014,11
6.0,78703,2014,12
7.0,78703,2015,1
7.0,78703,2015,2
10.0,78703,2015,3
19.0,78703,2015,4
10.0,78703,2015,5
10.0,78703,2015,6
19.0,78703,2015,7
33.0,78703,2015,8
16.0,78703,2015,9
19.0,78703,2015,10
20.0,78703,2015,11
27.0,78703,2015,12
9.0,78703,2016,1
16.0,78703,2016,2
38.0,78703,2016,3
23.0,78703,2016,4
39.0,78703,2016,5
4.0,78703,2016,6
50.0,78704,2008,6
49.0,78704,2008,7
51.0,78704,2008,8
54.0,78704,2008,9
35.0,78704,2008,10
25.0,78704,2008,11
29.0,78704,2008,12
8.0,78704,2009,1
25.0,78704,2009,2
26.0,78704,2009,3
36.0,78704,2009,4
31.0,78704,2009,5
41.0,78704,2009,6
37.0,78704,2009,7
52.0,78704,2009,8
44.0,78704,2009,9
43.0,78704,2009,10
43.0,78704,2009,11
24.0,78704,2009,12
25.0,78704,2010,1
28.0,78704,2010,2
43.0,78704,2010,3
65.0,78704,2010,4
90.0,78704,2010,5
67.0,78704,2010,6
33.0,78704,2010,7
41.0,78704,2010,8
40.0,78704,2010,9
36.0,78704,2010,10
46.0,78704,2010,11
40.0,78704,2010,12
26.0,78704,2011,1
24.0,78704,2011,2
40.0,78704,2011,3
35.0,78704,2011,4
54.0,78704,2011,5
58.0,78704,2011,6
40.0,78704,2011,7
56.0,78704,2011,8
39.0,78704,2011,9
28.0,78704,2011,10
29.0,78704,2011,11
50.0,78704,2011,12
30.0,78704,2012,1
25.0,78704,2012,2
40.0,78704,2012,3
47.0,78704,2012,4
63.0,78704,2012,5
63.0,78704,2012,6
68.0,78704,2012,7
59.0,78704,2012,8
42.0,78704,2012,9
46.0,78704,2012,10
36.0,78704,2012,11
45.0,78704,2012,12
27.0,78704,2013,1
23.0,78704,2013,2
26.0,78704,2013,3
32.0,78704,2013,4
40.0,78704,2013,5
29.0,78704,2013,6
30.0,78704,2013,7
37.0,78704,2013,8
26.0,78704,2013,9
20.0,78704,2013,10
23.0,78704,2013,11
16.0,78704,2013,12
11.0,78704,2014,1
20.0,78704,2014,2
20.0,78704,2014,3
21.0,78704,2014,4
25.0,78704,2014,5
17.0,78704,2014,6
25.0,78704,2014,7
26.0,78704,2014,8
24.0,78704,2014,9
18.0,78704,2014,10
15.0,78704,2014,11
20.0,78704,2014,12
17.0,78704,2015,1
13.0,78704,2015,2
20.0,78704,2015,3
24.0,78704,2015,4
20.0,78704,2015,5
30.0,78704,2015,6
45.0,78704,2015,7
56.0,78704,2015,8
42.0,78704,2015,9
33.0,78704,2015,10
31.0,78704,2015,11
57.0,78704,2015,12
90.0,78704,2016,1
40.0,78704,2016,2
45.0,78704,2016,3
45.0,78704,2016,4
71.0,78704,2016,5
5.0,78704,2016,6
27.0,78705,2008,6
23.0,78705,2008,7
25.0,78705,2008,8
7.0,78705,2008,9
9.0,78705,2008,10
4.0,78705,2008,11
8.0,78705,2008,12
3.0,78705,2009,1
9.0,78705,2009,2
11.0,78705,2009,3
11.0,78705,2009,4
12.0,78705,2009,5
14.0,78705,2009,6
27.0,78705,2009,7
19.0,78705,2009,8
8.0,78705,2009,9
6.0,78705,2009,10
4.0,78705,2009,11
8.0,78705,2009,12
4.0,78705,2010,1
8.0,78705,2010,2
5.0,78705,2010,3
15.0,78705,2010,4
13.0,78705,2010,5
14.0,78705,2010,6
14.0,78705,2010,7
15.0,78705,2010,8
2.0,78705,2010,9
5.0,78705,2010,10
4.0,78705,2010,11
6.0,78705,2010,12
3.0,78705,2011,1
7.0,78705,2011,2
4.0,78705,2011,3
7.0,78705,2011,4
12.0,78705,2011,5
19.0,78705,2011,6
21.0,78705,2011,7
23.0,78705,2011,8
11.0,78705,2011,9
6.0,78705,2011,10
4.0,78705,2011,11
9.0,78705,2011,12
6.0,78705,2012,1
10.0,78705,2012,2
12.0,78705,2012,3
7.0,78705,2012,4
14.0,78705,2012,5
15.0,78705,2012,6
8.0,78705,2012,7
19.0,78705,2012,8
4.0,78705,2012,9
10.0,78705,2012,10
5.0,78705,2012,11
9.0,78705,2012,12
4.0,78705,2013,1
4.0,78705,2013,2
7.0,78705,2013,3
5.0,78705,2013,4
5.0,78705,2013,5
12.0,78705,2013,6
11.0,78705,2013,7
7.0,78705,2013,8
4.0,78705,2013,9
4.0,78705,2013,10
2.0,78705,2013,11
7.0,78705,2013,12
6.0,78705,2014,1
2.0,78705,2014,2
7.0,78705,2014,3
6.0,78705,2014,4
11.0,78705,2014,5
10.0,78705,2014,6
8.0,78705,2014,7
7.0,78705,2014,8
3.0,78705,2014,9
8.0,78705,2014,11
5.0,78705,2014,12
3.0,78705,2015,1
1.0,78705,2015,2
9.0,78705,2015,3
3.0,78705,2015,4
6.0,78705,2015,5
6.0,78705,2015,6
12.0,78705,2015,7
20.0,78705,2015,8
8.0,78705,2015,9
4.0,78705,2015,10
2.0,78705,2015,11
4.0,78705,2015,12
8.0,78705,2016,1
5.0,78705,2016,2
11.0,78705,2016,3
18.0,78705,2016,4
15.0,78705,2016,5
1.0,78705,2016,6
53.0,78717,2008,6
46.0,78717,2008,7
47.0,78717,2008,8
43.0,78717,2008,9
32.0,78717,2008,10
19.0,78717,2008,11
25.0,78717,2008,12
20.0,78717,2009,1
17.0,78717,2009,2
31.0,78717,2009,3
35.0,78717,2009,4
37.0,78717,2009,5
51.0,78717,2009,6
48.0,78717,2009,7
33.0,78717,2009,8
35.0,78717,2009,9
49.0,78717,2009,10
45.0,78717,2009,11
32.0,78717,2009,12
19.0,78717,2010,1
19.0,78717,2010,2
47.0,78717,2010,3
48.0,78717,2010,4
59.0,78717,2010,5
47.0,78717,2010,6
30.0,78717,2010,7
32.0,78717,2010,8
19.0,78717,2010,9
21.0,78717,2010,10
28.0,78717,2010,11
28.0,78717,2010,12
32.0,78717,2011,1
14.0,78717,2011,2
37.0,78717,2011,3
40.0,78717,2011,4
33.0,78717,2011,5
48.0,78717,2011,6
32.0,78717,2011,7
51.0,78717,2011,8
38.0,78717,2011,9
43.0,78717,2011,10
30.0,78717,2011,11
34.0,78717,2011,12
23.0,78717,2012,1
21.0,78717,2012,2
33.0,78717,2012,3
29.0,78717,2012,4
52.0,78717,2012,5
63.0,78717,2012,6
59.0,78717,2012,7
48.0,78717,2012,8
39.0,78717,2012,9
43.0,78717,2012,10
28.0,78717,2012,11
46.0,78717,2012,12
35.0,78717,2013,1
48.0,78717,2013,2
62.0,78717,2013,3
61.0,78717,2013,4
68.0,78717,2013,5
59.0,78717,2013,6
87.0,78717,2013,7
77.0,78717,2013,8
37.0,78717,2013,9
61.0,78717,2013,10
44.0,78717,2013,11
55.0,78717,2013,12
31.0,78717,2014,1
50.0,78717,2014,2
51.0,78717,2014,3
59.0,78717,2014,4
65.0,78717,2014,5
62.0,78717,2014,6
60.0,78717,2014,7
39.0,78717,2014,8
59.0,78717,2014,9
51.0,78717,2014,10
39.0,78717,2014,11
57.0,78717,2014,12
22.0,78717,2015,1
18.0,78717,2015,2
38.0,78717,2015,3
43.0,78717,2015,4
36.0,78717,2015,5
54.0,78717,2015,6
42.0,78717,2015,7
57.0,78717,2015,8
48.0,78717,2015,9
33.0,78717,2015,10
31.0,78717,2015,11
19.0,78717,2015,12
22.0,78717,2016,1
16.0,78717,2016,2
37.0,78717,2016,3
35.0,78717,2016,4
45.0,78717,2016,5
7.0,78717,2016,6
1.0,78719,2008,6
1.0,78719,2008,7
2.0,78719,2008,8
1.0,78719,2008,9
1.0,78719,2008,11
1.0,78719,2009,2
1.0,78719,2009,4
1.0,78719,2009,9
1.0,78719,2009,12
1.0,78719,2010,2
1.0,78719,2010,6
2.0,78719,2010,7
1.0,78719,2010,9
1.0,78719,2011,1
1.0,78719,2011,5
2.0,78719,2011,7
