Median Price of Reduction,Zip Code,Year,Month
3.5727045373348,78701,2010,9
2.8643697019415,78701,2010,10
2.5210084033613,78701,2010,11
4.2994460736396,78701,2010,12
3.3865138372573,78701,2011,1
2.4823312833557,78701,2011,2
4.5495905368517,78701,2011,3
2.4064808168854,78701,2011,4
4.7993988350719,78701,2011,5
3.584229390681,78701,2011,6
1.6680460824592,78701,2011,7
2.4702380952381,78701,2011,8
3.1772575250836,78701,2011,9
2.5706940874036,78701,2011,10
4.6242774566474,78701,2011,11
2.9234018408776,78701,2011,12
2.9420417769932,78701,2012,1
4.2645778938207,78701,2012,2
1.3957971852709,78701,2012,3
1.8036072144289,78701,2012,4
2.962962962963,78701,2012,5
1.691671074118,78701,2012,6
2.0237058538945,78701,2012,7
1.7247326664367,78701,2012,8
2.6696329254727,78701,2012,9
4.0080160320641,78701,2012,10
2.7107895677027,78701,2012,11
2.7889908256881,78701,2012,12
2.2146858743497,78701,2013,1
7.6715441389757,78701,2013,2
11.309574138956,78701,2013,3
3.8476337052713,78701,2013,4
2.8908488823792,78701,2013,5
2.9428278551302,78701,2013,6
2.1052631578947,78701,2013,7
3.0315538433315,78701,2013,8
2.0399836801306,78701,2013,9
1.6613256872997,78701,2013,10
2.7785495971103,78701,2013,11
2.4428567193383,78701,2013,12
1.9738596959189,78701,2014,1
2.251828631139,78701,2014,2
5.0,78701,2014,3
2.1281123643328,78701,2014,4
2.3587669748775,78701,2014,5
1.6129292407942,78701,2014,6
1.7400290004834,78701,2014,7
2.0787240517443,78701,2014,8
2.2271714922049,78701,2014,9
1.0036239678311,78701,2014,10
1.4642300335921,78701,2014,11
3.506707460579,78701,2014,12
2.2432670218486,78701,2015,1
2.3533097449506,78701,2015,2
3.4236812863966,78701,2015,3
3.0479916774316,78701,2015,4
2.0639834881321,78701,2015,5
2.6984528263727,78701,2015,6
1.8203592814371,78701,2015,7
2.1991109010082,78701,2015,8
3.3663400176752,78701,2015,9
3.125,78701,2015,10
2.3529411764706,78701,2015,11
3.3333333333333,78701,2015,12
2.195652173913,78701,2016,1
2.3700727220938,78701,2016,2
3.6608863198459,78701,2016,3
2.3872874013065,78701,2016,4
2.1967963386728,78701,2016,5
