Median Price Cut,Zip Code,Year,Month
10000.0,78701,2010,9
9950.0,78701,2010,10
6000.0,78701,2010,11
8700.0,78701,2010,12
10000.0,78701,2011,1
7500.0,78701,2011,2
8900.0,78701,2011,3
7550.0,78701,2011,4
15000.0,78701,2011,5
10700.0,78701,2011,6
4575.0,78701,2011,7
7402.5,78701,2011,8
10000.0,78701,2011,9
10000.0,78701,2011,10
15100.0,78701,2011,11
12505.0,78701,2011,12
10000.0,78701,2012,1
20000.0,78701,2012,2
10000.0,78701,2012,3
10000.0,78701,2012,4
10000.0,78701,2012,5
7050.0,78701,2012,6
6500.0,78701,2012,7
5000.0,78701,2012,8
10000.0,78701,2012,9
100000.0,78701,2012,10
10750.0,78701,2012,11
7600.0,78701,2012,12
17600.0,78701,2013,1
69250.0,78701,2013,2
22750.0,78701,2013,3
10000.0,78701,2013,4
13500.0,78701,2013,5
20450.0,78701,2013,6
9100.0,78701,2013,7
12500.0,78701,2013,8
6700.0,78701,2013,9
5500.0,78701,2013,10
10600.0,78701,2013,11
10000.0,78701,2013,12
7400.0,78701,2014,1
8050.0,78701,2014,2
25000.0,78701,2014,3
5000.0,78701,2014,4
15000.0,78701,2014,5
10000.0,78701,2014,6
10100.0,78701,2014,7
10900.0,78701,2014,8
10000.0,78701,2014,9
4000.0,78701,2014,10
10000.0,78701,2014,11
14900.0,78701,2014,12
14800.0,78701,2015,1
10750.0,78701,2015,2
18500.0,78701,2015,3
20000.0,78701,2015,4
10000.0,78701,2015,5
13299.5,78701,2015,6
10000.0,78701,2015,7
10000.0,78701,2015,8
14750.0,78701,2015,9
20000.0,78701,2015,10
10000.0,78701,2015,11
15400.0,78701,2015,12
15000.0,78701,2016,1
14999.0,78701,2016,2
19000.0,78701,2016,3
11250.0,78701,2016,4
10250.0,78701,2016,5
24000.0,78701,2016,6
14500.0,78701,2016,7
14750.0,78701,2016,8
20000.0,78701,2016,9
12000.0,78701,2016,10
10050.0,78701,2016,11
10000.0,78701,2016,12
10549.5,78701,2017,1
10900.0,78701,2017,2
8500.0,78701,2017,3
15000.0,78701,2017,4
14500.0,78701,2017,5
14000.0,78701,2017,6
10500.0,78701,2017,7
14990.0,78701,2017,8
10000.0,78702,2010,9
10000.0,78702,2010,10
10450.0,78702,2010,11
5450.5,78702,2010,12
7500.0,78702,2011,1
10000.0,78702,2011,2
9950.0,78702,2011,3
7500.0,78702,2011,4
10000.0,78702,2011,5
10000.0,78702,2011,6
10025.0,78702,2011,7
10000.0,78702,2011,8
9905.0,78702,2011,9
5000.0,78702,2011,10
9500.0,78702,2011,11
15000.0,78702,2011,12
10000.0,78702,2012,1
10000.0,78702,2012,2
5000.0,78702,2012,3
5500.0,78702,2012,4
5000.0,78702,2012,5
5000.0,78702,2012,6
6275.0,78702,2012,7
5050.0,78702,2012,8
5000.0,78702,2012,9
5000.0,78702,2012,10
12000.0,78702,2012,11
11870.0,78702,2012,12
10100.0,78702,2013,1
10000.0,78702,2013,2
10000.0,78702,2013,3
10000.0,78702,2013,4
15000.0,78702,2013,5
15000.0,78702,2013,6
15000.0,78702,2013,7
14000.0,78702,2013,8
15000.0,78702,2013,9
13500.0,78702,2013,10
19000.0,78702,2013,11
15500.0,78702,2013,12
20000.0,78702,2014,1
15000.0,78702,2014,2
11100.0,78702,2014,3
9000.0,78702,2014,4
16499.5,78702,2014,5
11000.0,78702,2014,6
15000.0,78702,2014,7
15550.0,78702,2014,8
10000.0,78702,2014,9
17750.0,78702,2014,10
21550.0,78702,2014,11
20000.0,78702,2014,12
20500.0,78702,2015,1
24999.5,78702,2015,2
15900.0,78702,2015,3
17000.5,78702,2015,4
10000.0,78702,2015,5
15000.0,78702,2015,6
20000.0,78702,2015,7
12500.0,78702,2015,8
14900.0,78702,2015,9
10500.0,78702,2015,10
15000.0,78702,2015,11
12500.0,78702,2015,12
9100.0,78702,2016,1
20000.0,78702,2016,2
19999.5,78702,2016,3
20000.0,78702,2016,4
18000.0,78702,2016,5
15101.0,78702,2016,6
15000.0,78702,2016,7
11000.0,78702,2016,8
10000.0,78702,2016,9
10000.0,78702,2016,10
14950.0,78702,2016,11
14000.0,78702,2016,12
10500.0,78702,2017,1
10000.0,78702,2017,2
10000.0,78702,2017,3
10000.0,78702,2017,4
10000.0,78702,2017,5
15000.0,78702,2017,6
11000.0,78702,2017,7
10000.0,78702,2017,8
10000.0,78702,2017,9
10000.0,78702,2017,10
10000.0,78702,2017,11
10000.0,78702,2017,12
11544.0,78702,2018,1
15000.0,78702,2018,2
25000.0,78702,2018,3
12000.0,78702,2018,4
20000.0,78703,2010,9
15000.0,78703,2010,10
20000.0,78703,2010,11
10900.0,78703,2010,12
14000.0,78703,2011,1
19000.0,78703,2011,2
14000.0,78703,2011,3
17300.0,78703,2011,4
15000.0,78703,2011,5
16000.0,78703,2011,6
13000.0,78703,2011,7
15000.0,78703,2011,8
18000.0,78703,2011,9
26000.0,78703,2011,10
21500.0,78703,2011,11
25000.0,78703,2011,12
26000.0,78703,2012,1
15000.0,78703,2012,2
25000.0,78703,2012,3
23500.0,78703,2012,4
20000.0,78703,2012,5
20900.0,78703,2012,6
27550.0,78703,2012,7
14950.0,78703,2012,8
14900.0,78703,2012,9
10000.0,78703,2012,10
15000.0,78703,2012,11
11750.0,78703,2012,12
20000.0,78703,2013,1
34925.0,78703,2013,2
20000.0,78703,2013,3
20000.0,78703,2013,4
38000.0,78703,2013,5
25000.0,78703,2013,6
17950.0,78703,2013,7
28000.0,78703,2013,8
20900.0,78703,2013,9
30100.0,78703,2013,10
20000.0,78703,2013,11
50000.0,78703,2013,12
27550.0,78703,2014,1
33000.0,78703,2014,2
32700.0,78703,2014,3
45000.0,78703,2014,4
38000.0,78703,2014,5
60000.0,78703,2014,6
50100.0,78703,2014,7
24550.0,78703,2014,8
20000.0,78703,2014,9
20000.0,78703,2014,10
25400.0,78703,2014,11
18000.0,78703,2014,12
25000.0,78703,2015,1
17650.0,78703,2015,2
20000.0,78703,2015,3
19100.0,78703,2015,4
60500.0,78703,2015,5
30000.0,78703,2015,6
22000.0,78703,2015,7
33000.0,78703,2015,8
25000.0,78703,2015,9
25000.0,78703,2015,10
26000.0,78703,2015,11
48050.0,78703,2015,12
27525.0,78703,2016,1
30000.0,78703,2016,2
25100.0,78703,2016,3
37500.5,78703,2016,4
30000.0,78703,2016,5
40000.0,78703,2016,6
50000.0,78703,2016,7
50000.0,78703,2016,8
24500.0,78703,2016,9
24500.0,78703,2016,10
25000.0,78703,2016,11
40000.0,78703,2016,12
30000.0,78703,2017,1
26500.0,78703,2017,2
28000.0,78703,2017,3
49750.0,78703,2017,4
37500.0,78703,2017,5
36000.0,78703,2017,6
25000.0,78703,2017,7
20000.0,78703,2017,8
26000.0,78703,2017,9
25000.0,78703,2017,10
24000.0,78703,2017,11
25000.0,78703,2017,12
25000.0,78703,2018,1
25000.0,78703,2018,2
22000.0,78703,2018,3
40000.0,78703,2018,4
9625.0,78704,2010,9
10000.0,78704,2010,10
10100.0,78704,2010,11
6000.0,78704,2010,12
10000.0,78704,2011,1
10000.0,78704,2011,2
10000.0,78704,2011,3
10000.0,78704,2011,4
10000.0,78704,2011,5
10000.0,78704,2011,6
10000.0,78704,2011,7
10000.0,78704,2011,8
10000.0,78704,2011,9
9550.0,78704,2011,10
9550.0,78704,2011,11
13960.0,78704,2011,12
10000.0,78704,2012,1
10500.0,78704,2012,2
10000.0,78704,2012,3
10549.5,78704,2012,4
10000.0,78704,2012,5
10000.0,78704,2012,6
14000.0,78704,2012,7
10000.0,78704,2012,8
10000.0,78704,2012,9
9900.0,78704,2012,10
10000.0,78704,2012,11
6000.0,78704,2012,12
8000.0,78704,2013,1
9050.0,78704,2013,2
15050.0,78704,2013,3
15000.0,78704,2013,4
10550.0,78704,2013,5
13000.0,78704,2013,6
15000.0,78704,2013,7
10000.0,78704,2013,8
